PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dConfidence,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2026-06-18,17:02:15.75,1,1,"Grim, Ethan",832561,Right,BRE_WHI,"Kirk, Taylor",842079,Right,HYA_HAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.52142,-2.276691,-3.436372,2385.178939,215.294962,1:15,5.6228,2.35061,5.50472,-12.05079,22.35942,14.77119,2.48442,0.36395,81.53968,-4.67661,-0.810672,0.422197,,,,,,,,,,,,-8.65843,12.4715,-2.06028,50,5.41617,7.29691,-133.47319,-5.59324,-15.07749,38.00644,-10.45658,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,fc869ad0-6b58-11f1-bb15-89f1c00ac393,89.27689,,,10.98174,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:02:15.75,2026-06-18T17:02:15.7568512-04:00,2026-06-18T21:02:15.7568512Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,28965a61-f2df-4b44-9a3b-76b8a8637acd,54.98511,-134.88523,19.00322,5.61676,-5.20476,-5.22829,-2.34178,7.85708,-7.53874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-06-18,17:02:32.22,1,2,"Grim, Ethan",832561,Right,BRE_WHI,"Kirk, Taylor",842079,Right,HYA_HAR,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.86019,1.281187,-1.653551,2560.334443,121.795737,10:00,5.20598,2.5937,5.19017,-38.53585,6.13398,-6.71839,3.20058,0.47791,71.92181,-5.87375,-2.842667,0.481037,,,,,,,,,,,,2.64028,3.11603,-2.43505,50,5.29678,3.70866,-118.12923,1.29046,3.57339,31.33278,-27.9568,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,0662b6b0-6b59-11f1-bb15-89f1c00ac393,78.35664,,,9.93839,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:02:32.22,2026-06-18T17:02:32.2212864-04:00,2026-06-18T21:02:32.2212864Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,5cdb25bd-2994-450f-8b86-3209d88e886e,55.29805,-119.52623,15.66639,5.21146,2.53694,-13.9784,-2.59685,3.54934,1.78669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-06-18,17:02:48.39,1,3,"Grim, Ethan",832561,Right,BRE_WHI,"Kirk, Taylor",842079,Right,HYA_HAR,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.71846,0.504319,-1.949986,2480.967479,71.285827,8:30,5.13963,2.51676,5.05029,-50.5192,-4.86733,-19.69985,1.40563,-0.96471,72.29403,-8.671107,-5.43029,0.486296,,,,,,,,,,,,9.06516,-2.1224,-2.31448,50,5.14768,4.814,-116.73019,-0.82957,12.0962,28.70489,-35.0061,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,0fffcdc0-6b59-11f1-bb15-89f1c00ac393,77.50923,,,8.42443,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:02:48.39,2026-06-18T17:02:48.3964928-04:00,2026-06-18T21:02:48.3964928Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,3261578b-b84e-4222-b820-8523af208266,55.4457,-118.06174,14.35244,5.1485,0.79427,-17.50305,-2.52477,4.25289,6.0481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-06-18,17:03:04.06,1,4,"Grim, Ethan",832561,Right,BRE_WHI,"Kirk, Taylor",842079,Right,HYA_HAR,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.62675,-2.382586,-4.118316,2232.104442,212.210004,1:00,5.55022,2.41797,5.70557,-10.51926,24.52088,14.45347,2.44672,-0.22125,80.33438,-4.534465,-1.543193,0.426044,68.80353,44.543771,142.23883,4780.893916,,,,,27.92227,,,-8.9406,13.78627,-2.08146,50,5.34414,8.83913,-132.07899,-5.69607,-15.15597,38.69006,-8.8038,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,1950e7b0-6b59-11f1-bb15-89f1c00ac393,88.47079,26.19982,,11.29237,,,,1.23813,2.36185,0.31115,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:03:04.06,2026-06-18T17:03:04.0649216-04:00,2026-06-18T21:03:04.0649216Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,3dbeb305-79fa-4dfb-8d86-e4e37b33ed33,54.78519,-133.47336,19.34503,5.54371,-5.37879,-4.4019,-2.40987,9.38534,-7.57798,324.063175,1.24746,-57.16652,0.632,,,,,,,2.38385,70.07492,-31.45557,,,,,,,0.32453,43.61038,-11.85763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-06-18,17:03:23.37,1,5,"Grim, Ethan",832561,Right,BRE_WHI,"Kirk, Taylor",842079,Right,HYA_HAR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.27305,-2.149518,-3.584444,2481.599471,212.155583,1:00,5.62349,2.1144,5.75802,-7.56335,25.4406,15.05961,2.9876,0.02864,82.55956,-3.764019,-0.896,0.41348,,,,,,,,,,,,-8.97355,14.08528,-1.82586,50,5.44061,7.78556,-135.9812,-5.16306,-16.12344,41.0183,-6.866,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,24cdbb40-6b59-11f1-bb15-89f1c00ac393,91.15904,,,11.71349,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:03:23.37,2026-06-18T17:03:23.3700000-04:00,2026-06-18T21:03:23.3700000Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,00b6d96b-8fd4-4808-a317-6b29721fc83f,54.73094,-137.40086,20.50915,5.6152,-4.92543,-3.433,-2.10498,8.3436,-8.06172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.38615,2.267588,0.992051,1.275537,-0.66384,2.84897,0.00199,-5.41657,2.99388,4.48313,72.86874,8.34004,51.92689,-5.36716,66.15004,-3.7801,3.06235,24.27834,-15.79777,4.4954,39.03446,-1.45097,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-06-18,17:03:51.76,2,1,"Grim, Ethan",832561,Right,BRE_WHI,"Miller, Caden",832296,Left,HYA_HAR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.35384,-0.544965,-1.786224,2329.175721,211.940189,1:00,5.62692,2.23448,5.64585,-11.68697,21.52289,12.5928,4.14443,1.61724,82.93517,-2.865693,0.462233,0.414768,,,,,,,,,,,,-6.93099,11.39737,-2.09075,50,5.57353,3.60682,-135.10435,-1.55417,-12.47145,36.69755,-11.66583,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,35bcc0e0-6b59-11f1-bb15-89f1c00ac393,90.87603,,,10.41868,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:03:51.76,2026-06-18T17:03:51.7631488-04:00,2026-06-18T21:03:51.7631488Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,b3a3febb-b0fb-43df-adea-a8eb5e08ffb0,54.84492,-136.414,18.34878,5.62157,-1.13784,-5.83292,-2.22741,4.05189,-6.23573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-06-18,17:04:07.54,2,2,"Grim, Ethan",832561,Right,BRE_WHI,"Miller, Caden",832296,Left,HYA_HAR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.3144,-3.161921,-2.76876,2374.46743,225.48082,1:30,5.46235,2.16021,5.79495,-16.90253,16.23328,15.3769,1.10634,0.86427,84.13173,-6.357098,-0.01601,0.414305,,,,,,,,,,,,-8.63434,9.52288,-1.9417,50,5.19184,5.7847,-133.73108,-7.92537,-15.58022,29.80441,-14.99044,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,3f261dc0-6b59-11f1-bb15-89f1c00ac393,90.97754,,,8.18267,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:04:07.54,2026-06-18T17:04:07.5428352-04:00,2026-06-18T21:04:07.5428352Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,b1d58696-896b-4bbb-99c4-71c6ad4b83d5,54.70188,-134.77491,14.90221,5.46022,-7.40036,-7.49522,-2.15385,6.33036,-7.79011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-06-18,17:04:26.29,2,3,"Grim, Ethan",832561,Right,BRE_WHI,"Miller, Caden",832296,Left,HYA_HAR,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.5965,-1.971796,-3.513826,2231.859603,223.893507,1:30,5.57974,2.12135,5.61695,-14.99505,18.8145,16.80875,2.48577,0.23867,82.55609,-4.87339,-0.519067,0.418496,74.10177,55.995257,-162.328556,4148.925635,,,,,22.8167,,,-9.76375,10.59875,-1.83246,50,5.40207,7.44715,-133.85272,-5.05537,-17.27998,35.48547,-13.41625,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,4a4b8280-6b59-11f1-bb15-89f1c00ac393,90.0665,33.53547,,10.04041,,,,2.27588,2.59592,-0.22609,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:04:26.29,2026-06-18T17:04:26.2964224-04:00,2026-06-18T21:04:26.2964224Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,a33065f1-ca91-4b8f-8aff-11845fdef5f0,54.8779,-135.1397,17.74273,5.5766,-4.56879,-6.70812,-2.11391,8.07386,-8.63999,4.655111,2.28222,-58.12566,2.36577,,,,,,,2.62572,89.12939,-36.13274,,,,,,,-0.22686,-18.42704,2.18076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-06-18,17:04:50.45,2,4,"Grim, Ethan",832561,Right,BRE_WHI,"Miller, Caden",832296,Left,HYA_HAR,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.57636,-1.66376,-4.224739,2422.451839,214.017979,1:15,5.58224,2.11191,5.88269,-9.9363,23.07348,14.64713,3.20458,-0.59777,82.81322,-3.685753,-1.606909,0.413516,,,,,,,,,,,,-8.94107,12.70379,-1.77855,50,5.44195,9.29325,-135.11192,-4.10483,-16.03673,37.58471,-9.38847,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,58b5d910-6b59-11f1-bb15-89f1c00ac393,91.15102,,,10.76314,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:04:50.45,2026-06-18T17:04:50.4550400-04:00,2026-06-18T21:04:50.4550400Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,c0f7a18a-695b-4fbe-a7de-1b3cd64719f7,54.60854,-136.38787,18.79236,5.5759,-3.78611,-4.69424,-2.10328,9.83767,-8.01837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-06-18,17:05:07.35,2,5,"Grim, Ethan",832561,Right,BRE_WHI,"Miller, Caden",832296,Left,HYA_HAR,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.32456,-2.570397,-3.241239,2470.645301,218.344565,1:15,5.52452,2.1232,5.58491,-11.33957,21.8823,16.28662,2.17383,0.45048,83.45638,-4.809489,-0.340623,0.414842,,,,,,,,,,,,-9.1826,12.20064,-1.85483,50,5.29607,6.8456,-134.87281,-6.32473,-16.58439,34.66995,-10.13891,BRE_WHI,HYA_HAR,CCBLBrewster,Cape Cod Baseball League,CCBL,20260618-CCBLBrewster-1,62c958a0-6b59-11f1-bb15-89f1c00ac393,90.85964,,,9.86818,,,,,,,93573a9d-26bc-46cc-8648-aab8239aff84,2026-06-18,21:05:07.35,2026-06-18T17:05:07.3535488-04:00,2026-06-18T21:05:07.3535488Z,,v3,,,,"Jenkins, Owen",828215,Right,BRE_WHI,a9080414-b02c-4584-bee1-692bf54ef09b,54.90683,-136.1283,17.33497,5.51846,-5.95757,-5.06946,-2.1136,7.44616,-8.29219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
