tm_name,bref_name,team_abbr,height,set
"Aaron, Carrington",Carrington Aaron,RAD_HIG,5.833333333,0
"Aarts, Carter",Carter Aarts,NIA_EAG,6.25,0
"Aasland, Tristan",Tristan Aasland,UCO_HUS,6.25,0
"Abadie, Connor",Connor Abadie,SAN_AZT,6,0
"Abbadessa, Jude",Jude Abbadessa,TUL_GRE,6,0
"Abbott, Brice",Brice Abbott,LON_LAN,6.166666667,0
"Abel, Trent",Trent Abel,CAL_MAT,5.916666667,0
"Abell, Mark",Mark Abell,ARM_BLA,5.833333333,0
"Abercrombie, Justin",Justin Abercrombie,UTA_UTE,5.833333333,0
"Abernathy, Jay",Jay Abernathy,TEN_VOL,5.833333333,0
"Abler, Andrew",Andrew Abler,HAR_CRI,6.083333333,0
"Abraham, John",John Abraham,FLO_SEM,6.25,0
"Abraham, Nic",Nic Abraham,TEN_VOL,6.416666667,0
"Abraham, Todd",Todd Abraham,BIN_BEA,6,0
"Abrams, Max",Max Abrams,SPU_PEA,6.416666667,0
"Abreu, Jhon",Jhon Abreu,FGCU,6,0
"Acevedo, Ethan",Ethan Acevedo,VCU_RAM,5.666666667,0
"Acevedo, Tyler",Tyler Acevedo,ION_GAE,6,0
"Acevedo, Yahir",Yahir Acevedo,CSU_BAK,5.833333333,0
"Aceves, Nathan",Nathan Aceves,SAN_GAU,6.25,0
"Achee, Connor",Connor Achee,MCN_COW,6.166666667,0
"Achey, Thomas",Thomas Achey,STE_HAT,6,0
"Ackel, Austin",Austin Ackel,ULM_WAR,6.25,0
"Acker, Ty",Ty Acker,SET_PIR,5.916666667,0
"Ackerman, Jess",Jess Ackerman,MER_BEA,6.25,0
"Acosta, Gavin",Gavin Acosta,UIC_FLA,5.833333333,0
"Acosta, JC",JC Acosta,NOR_DEM,5.833333333,0
"Acosta, JP",JP Acosta,WES_HIL,6.083333333,0
"Acosta, Jonathan",Jonathan Acosta,NOF_OSP,6.083333333,0
"Acreman, Trey",Trey Acreman,STE_LUM,6,0
"Acton, Mason",Mason Acton,BEL_KNI,6.083333333,0
"Adams, Brandon",Brandon Adams,NOF_OSP,6.166666667,0
"Adams, Gage",Gage Adams,SAN_AZT,6.083333333,0
"Adams, George",George Adams,FLO_PAN,6.166666667,0
"Adams, Joe",Joe Adams,ARK_LIO,6.25,0
"Adams, Peyton",Peyton Adams,STE_LUM,6,0
"Adams, Rayfield",Trey Adams,ALC_BRA,5.75,0
"Adams, TJ",TJ Adams,ARI_WIL,6.083333333,0
"Adams, Travis",Travis Adams,ULM_WAR,6,0
"Adams, Zach",Zach Adams,CEN_BEA,6.75,0
"Adams, Zane",Zane Adams,ALA_CRI,6.333333333,0
"Adamski Jr., Frank",Frank Adamski,TOW_TIG,6.166666667,0
"Adamson, Brock",Brock Adamson,CSU_BAK,6.166666667,0
"Adcock, Nile",Nile Adcock,KEN_WIL,6.166666667,0
"Adcox, Jayden",Jayden Adcox,NEW_PRI,6,0
"Addari, Michael",Michael Addari,ILL_RED,6.5,0
"Addison, Logan",Logan Addison,TEX_RAI,6.083333333,0
"Adelman, Jasper",Jasper Adelman,LEH_MOU,6.25,0
"Adelman, Trent",Trent Adelman,VCU_RAM,6.083333333,0
"Adelmann, Jonathan",Jonathan Adelmann,BUC_BIS,6.583333333,0
"Adetuyi, Kide",Kide Adetuyi,FAU_OWL,6.083333333,0
"Adkins, Dillon",Dillon Adkins,AUS_GOV,5.916666667,0
"Adkisson, Ethan",Ethan Adkisson,STE_LUM,6,0
"Advincula, Jarren",Jarren Advincula,GIT_YEL,5.916666667,0
"Afework, Isaiah",Isaiah Afework,TEX_ISL,6.416666667,0
"Agabedis III, James",James Agabedis,TUL_GRE,5.833333333,0
"Agar, Joey",Joey Agar,MSM_MTN,5.916666667,0
"Agarwal, Rohan",Rohan Agarwal,SPU_PEA,5.916666667,0
"Agnew, Luke",Luke Agnew,NOR_BIS,6.25,0
"Agosto, Justus",Justus Agosto,ALA_LIO,6.083333333,0
"Agosto, Kelvin",Kelvin Agosto,GAR_RUN,5.833333333,0
"Agosto, Pedro",Pedro Agosto,COP_STA,5.916666667,0
"Agresti, Adam",Adam Agresti,STJ_RED,6.25,0
"Aguayo, Aiden",Aiden Aguayo,UCLA,6,0
"Ahearn, Qwynn",Qwynn Ahearn,PEN_QUA,5.916666667,0
"Ahern, Garrett",Garrett Ahern,GRA_CAN,6.416666667,0
"Ahlers, Tommy",Tommy Ahlers,DAY_FLY,6.083333333,0
"Aiello, Christian",Christian Aiello,RID_BRO,5.916666667,0
"Aiken, Davis",Davis Aiken,COL_CHA,5.833333333,0
"Aiken, TJ",TJ Aiken,OLD_MON,6.166666667,0
"Aikens, Parker",Parker Aikens,RHO_RAM,6.083333333,0
"Ainsworth, Addison",Addison Ainsworth,ARM_BLA,6,0
"Airhart, Parker",Parker Airhart,MUR_RAC,6,0
"Airington, Cody",Cody Airington,AUS_GOV,6.166666667,0
"Akens, Ollie",Ollie Akens,MTSU_BLU,6.083333333,0
"Akers, Landon",Landon Akers,BEL_KNI,6.083333333,0
"Akers, Layne",Layne Akers,MTSU_BLU,6,0
"Akopov, Henry",Henry Akopov,ELO_PHO,6,0
"Alack, Lane",Lane Alack,NEW_PRI,6,0
"Alagheband, Luca",Luca Alagheband,HAR_CRI,6.333333333,0
"Alana, Diego",Diego Alana,LAM_CAR,5.916666667,0
"Alaniz, Lucas",Lucas Alaniz,CAL_MAT,6.166666667,0
"Alarid, Zach",Zach Alarid,SAM_BEA,6.083333333,0
"Alba, Jaden",Jaden Alba,ARI_SUN,6.25,0
"Albanese, Tyler",Tyler Albanese,SAN_SPA,6.5,0
"Albano, Noah",Noah Albano,CAN_GRI,6.333333333,0
"Albarran, Abel",Abel Albarran,MTSU_BLU,6,0
"Alberghini, Kaden",Kaden Alberghini,SEA_RED,6.416666667,0
"Alberico, Alex",Alex Alberico,KS_GF,6,0
"Albert, Eddie",Eddie Albert,DAR_GRE,6.083333333,0
"Alberti, Lucas",Lucas Alberti,GEO_PAT,5.833333333,0
"Alberto, Emmanuel",Manny Alberto,WES_HIL,6.166666667,0
"Albertus, Andrew",Andrew Albertus,PRE_BLH,5.833333333,0
"Albrecht, George",George Albrecht,UTA_WOL,6.333333333,0
"Albright, Blaine",Blaine Albright,MAR_THU,6.25,0
"Albright, Caden",Caden Albright,BIN_BEA,6,0
"Albright, Cody",Cody Albright,UNL_REB,6.25,0
"Albright, Tyler",Tyler Albright,DUK_BLU,6,0
"Alcock, Bobby",Bobby Alcock,ALA_CRI,6.416666667,0
"Alderman, Chandler",Chandler Alderman,MTSU_BLU,6.416666667,0
"Alderman, Chase",Chase Alderman,KEN_WIL,6.416666667,0
"Alduino, Matthew",Matt Alduino,QUI_BOB,6,0
"Alejandro, Hector",Hector Alejandro,SAC_PIO,6.083333333,0
"Alekson, Ben",Ben Alekson,FAI_STA,6.166666667,0
"Aleman, Angelo",Angelo Aleman,BRA_BRA,6.166666667,0
"Alexander, Brady",Brady Alexander,OHI_BOB,6,0
"Alexander, Hunter",Hunter Alexander,CEN_BEA,6,0
"Alexander, Kyree",Kyree Alexander,EIU_PAN,5.666666667,0
"Alexander, Luke",Luke Alexander,JMU_DUK,6.25,0
"Alfonso, Cowan",Cowan Alfonso,LOU_CAJ,6.25,0
"Alfonso, Jose",Jose Alfonso,ALA_HOR,5.666666667,0
"Alfonso-Rivera, Diego",Diego Alfonso-Rivera,WIN_EAG,6,0
"Alford, Dalton",Dalton Alford,TEX_TIG,5.916666667,0
"Alford, Jackson",Jackson Alford,ELO_PHO,5.916666667,0
"Alford, Seth",Seth Alford,NOF_OSP,5.916666667,0
"Alicea, Alex",Alex Alicea,LOU_CAR,5.666666667,0
"Alicea, Edwin",Edwin Alicea,USF_BUL,6.416666667,0
"Alig, Wesley",Wesley Alig,KEN_OWL,5.75,0
"Alivo, Kyle",Kyle Alivo,IOW_HAW,6.083333333,0
"Alleman, Tyler",Tyler Alleman,SAN_BRO,6,0
"Allen, Andrew",Andrew Allen,ASU_RED,6.166666667,0
"Allen, Cameron",Cam Allen,WRI_RAI,6.25,0
"Allen, Colby",Colby Allen,SOU_GOL,6,0
"Allen, Cooper",Cooper Allen,UNC_SEA,6.083333333,0
"Allen, Henry",Henry Allen,GEO_BUL,6.333333333,0
"Allen, J.C.",J.C. Allen,CSD_TRI,6.333333333,0
"Allen, Joe",Joe Allen,CLE_TIG,6.25,0
"Allen, John",John Allen,AKR_ZIP,6.166666667,0
"Allen, Lane",Lane Allen,HIG_PAN,6.25,0
"Allen, Noah",Noah Allen,OLE_REB,6.583333333,0
"Allen, Payton",Payton Allen,GRA_TIG,5.833333333,0
"Allen, Thomas",Thomas Allen,LOU_BUL,6.166666667,0
"Allen, Tyler",Ty Allen,MIN_GOL,5.833333333,0
"Allen, Will",Will Allen,USF_BUL,6.333333333,0
"Allen, Zeb",Zeb Allen,CEN_BEA,5.916666667,0
"Allensworth, Rece",Rece Allensworth,NIA_EAG,6.166666667,0
"Alloway, Gavin",Gavin Alloway,RID_BRO,6.166666667,0
"Allred, Gus",Gus Allred,NCB,6.25,0
"Allred, Henry",Hank Allred,ALC_BRA,5.75,0
"Allred, Nicholas",Nick Allred,STM_GAE,6.083333333,0
"Almond, Griffin",Griffin Almond,YSU_PEN,6.5,0
"Almonte, Erick",Erick Almonte,BET_WIL,6,0
"Aloisio, Collin",Collin Aloisio,SAM_BEA,6.083333333,0
"Alonso, Dylan",Dylan Alonso,TRO_TRJ,6.333333333,0
"Alonso, Marcelino",Marcelino Alonso,IND_SYC,6.166666667,0
"Aloy, Kuhio",Kuhio Aloy,ARK_RAZ,6.083333333,0
"Alsobrooks, Ayden",Ayden Alsobrooks,IWC,6,0
"Altman, Jake",Jake Altman,NOK_NOR,5.916666667,0
"Altmeyer, Ray",Ray Altmeyer,MER_UNI,5.666666667,0
"Aluko, Simon",Simon Aluko,FGCU,6.25,0
"Alvarado, Lazaro",Lazaro Alvarado,ARK_LIO,5.75,0
"Alvarez, Alonzo",Alonzo Alvarez,MIA_HUR,6.25,0
"Alvarez, Andreas",Andreas Alvarez,AUB_TIG,5.833333333,0
"Alvarez, David",David Alvarez,EKU_COL,6.166666667,0
"Alvarez, Enrique",Enrique Alvarez,FLO_PAN,6.333333333,0
"Alvarez, Jayden",Jayden Alvarez,WAG_SEA,6,0
"Alvarez, Ledy",Ledy Alvarez,JAC_TIG,5.833333333,0
"Alvarez, Noah",Noah Alvarez,CAL_ANT,6.166666667,0
"Alvarez, Salvador",Salvy Alvarez,STE_HAT,5.833333333,0
"Alveti, Gavin",Gavin Alveti,AUS_GOV,6,0
"Alvey, Caden",Caden Alvey,MER_BEA,6.166666667,0
"Alvord, Hunter",Hunter Alvord,SAM_BEA,6,0
"Alwood, Luke",Luke Alwood,SEA_RED,6.25,0
"Amaro, Kristian",Kristian Amaro,NOR_AGG,6,0
"Amborn, Cal",Cal Amborn,SAN_DON,6.416666667,0
"Ambrose, Chase",Chase Ambrose,SOU_LIO,6,0
"Amedee, Lee",Lee Amedee,LOU_CAJ,6.083333333,0
"Ames, Riley",Riley Ames,MER_UNI,6,0
"Ametrano, Lucas",Lucas Ametrano,HOL_CRU,5.833333333,0
"Amman, Jacob",Jake Amman,COL_CHA,6.166666667,0
"Ammerman, Alec",Alec Ammerman,SIU_SAL,5.833333333,0
"Amundson, Easton",Easton Amundson,AKR_ZIP,6.25,0
"Amundson, Kaden",Kaden Amundson,ASU_RED,5.833333333,0
"Anders, Jonathan",Jonathan Anders,SAM_BEA,6,0
"Andersen, Nick",Nick Andersen,HOL_CRU,6.333333333,0
"Andersen, Sam",Sam Andersen,DAR_GRE,6,0
"Anderson, AJ",AJ Anderson,ALA_ANM,6.166666667,0
"Anderson, Aric",Aric Anderson,RIC_OWL,6,0
"Anderson, Bryce",Bryce Anderson,BEL_KNI,5.75,0
"Anderson, Caleb",Caleb Anderson,DUK_BLU,6,0
"Anderson, Caleb",Caleb Anderson,LON_DIR,6.416666667,0
"Anderson, Collin",Collin Anderson,DUK_BLU,6,0
"Anderson, Drake",Drake Anderson,IWC,5.833333333,0
"Anderson, Eli",Eli Anderson,PUR_BOI,6,0
"Anderson, Garner",Garner Anderson,UTM_SKY,6.25,0
"Anderson, Ian",Ian Anderson,SOU_IND16,6.083333333,0
"Anderson, Jack",Jack Anderson,JMU_DUK,6.25,0
"Anderson, Lance",Lance Anderson,LIT_TRO,5.75,0
"Anderson, Logan",Logan Anderson,POR_PIL,6.25,0
"Anderson, Luke",Luke Anderson,BYU_COU,5.833333333,0
"Anderson, Michael",Michael Anderson,PEN_NIT,6.25,0
"Anderson, Nathan",Nathan Anderson,SOU_IND16,6.333333333,0
"Anderson, TJ",TJ Anderson,CIT_BUL,6,0
"Anderson, Will",Will Anderson,SAN_BRO,6.166666667,0
"Anderson, Zachary",Zach Anderson,BIN_BEA,6,0
"Andolina, David",David Andolina,LEH_MOU,6,0
"Andrade, William",William Andrade,NEW_PRI,6,0
"Andre, William",Will Andre,SAM_BUL,6.416666667,0
"Andreas, Jake",Jake Andreas,SAN_DON,6.25,0
"Andrews, Camden",Camden Andrews,CAL_LAN,5.916666667,0
"Andrews, Heath",Heath Andrews,NOR_WOL,6.25,0
"Andrews, Jack",Jack Andrews,MER_COL1,6.25,0
"Andrews, Jake",Jake Andrews,MSM_MTN,6.166666667,0
"Andrews, Tag",Tag Andrews,LIT_TRO,6,0
"Andrews, Tyler",Tyler Andrews,UWM_PAN,6.166666667,0
"Andrunas, Noah",Noah Andrunas,SLU_BILL,6.083333333,0
"Andrus, Shane",Shane Andrus,MAI_BLA,5.75,0
"Andrzejewski, Paul",Paul Andrzejewski,ARM_BLA,6.083333333,0
"Anello, Nick",Nick Anello,ARI_SUN,6.25,0
"Angelakos, Dimitri",Dimitri Angelakos,GIT_YEL,6.083333333,0
"Angus, Jack",Jack Angus,EMU_EAG,6.25,0
"Anna, Nakni",Nakni Anna,USF_BUL,5.75,0
"Anselmo, Anthony",Anthony Anselmo,BET_WIL,5.833333333,0
"Anstey, Cam",Cam Anstey,AIR_FOR,6.083333333,0
"Anthony, Chaz",Chaz Anthony,MOY_MOY,5.75,0
"Antigua, Ariel",Ariel Antigua,TEN_VOL,5.666666667,0
"Antolick, Brett",Brett Antolick,ECU_PIR,6.333333333,0
"Anvar, Bijan",Bijan Anvar,RIC_SPI,6.25,0
"Anzai, Keenan",Keenan Anzai,CAL_AGO,6.333333333,0
"Anzaldi, Anthony",Anthony Anzaldi,NJI_HIG,6,0
"Aoki, Caden",Caden Aoki,GEO_BUL,6,0
"Aoki, Tanner",Tanner Aoki,MIS_DEL,5.75,0
"Aponick, Jonas",Jonas Aponick,GEO_COL,6.083333333,0
"Appel, Brady",Brady Appel,BRA_BRA,6.083333333,0
"Appelman, Jaxon",Jaxon Appelman,COA_CHA,6.166666667,0
"Appelwick, Evan",Evan Appelwick,MIA_RED,6,0
"Appenzeller, Cameron",Cam Appenzeller,TEN_VOL,6.416666667,0
"Apple, Foster",Foster Apple,STE_HAT,6.083333333,0
"Applebey, Kaleb",Kaleb Applebey,AUS_GOV,6.583333333,0
"Applefield, Kalen",Kalen Applefield,CAL_BEA,6.083333333,0
"Applegate, Carson",Carson Applegate,STJ_HAW,5.916666667,0
"Applegate, Will",Will Applegate,UTA_WOL,6.166666667,0
"Araiza, Issac",Issac Araiza,SAN_AZT,6.416666667,0
"Arambula, Daniel",Daniel Arambula,UTA_UTE,6,0
"Aranda, Marcus",Marcus Aranda,ULM_WAR,6,0
"Arcamone, Jack",Jack Arcamone,GEO_BUL,6.083333333,0
"Archibald, Matt",Matt Archibald,NAV_MID,6.333333333,0
"Ard, Phillip",Phillip Ard,COA_CHA,6.25,0
"Ardoin, Sam",Sam Ardoin,NOR_DEM,6.166666667,0
"Arend, Joey",Joey Arend,XAV_MUS,6.083333333,0
"Arias, Nick",Nick Arias,ABI_WIL,6,0
"Armistead, JW",JW Armistead,SOU_GOL,6.416666667,0
"Armsey, Jake",Jake Armsey,USC_UPS,6,0
"Armstrong, Ian",Ian Armstrong,STM_GAE,6.083333333,0
"Armstrong, Jack",Jack Armstrong,IND_SYC,6.416666667,0
"Armstrong, Preston",Preston Armstrong,SEA_RED,6.25,0
"Armstrong, Tyce",Tyce Armstrong,BAY_BEA,6.333333333,0
"Arn, Kade",Kade Arn,BGS_FAL,6.333333333,0
"Arnberger, Jacob",Jacob Arnberger,WCC,5.833333333,0
"Arndt, Owen",Owen Arndt,JAC_GAM,6.25,0
"Arnett, Jeremiah",Jeremiah Arnett,RIC_OWL,6.333333333,0
"Arnold, Aaron",Aaron Arnold,KAN_WIL,6,0
"Arnold, Andrew",Andrew Arnold,SAM_BUL,6.166666667,0
"Arnold, Jake",Jake Arnold,MSM_MTN,6.166666667,0
"Arnold, Matt",Matt Arnold,SLU_BILL,6,0
"Arnold, Tristan",Tristan Arnold,UWM_PAN,6.083333333,0
"Arquette, Josh",Josh Arquette,UTS_ROA,6,0
"Arrambide, Cade",Cade Arrambide,LSU_TIG,6.25,0
"Arreola, Victor",Vic Arreola,FRE_BUL,6,0
"Arrocha, Derek",Derek Arrocha,JAC_TIG,5.833333333,0
"Arroyo, Ashton",Ashton Arroyo,GEO_HOY,6.583333333,0
"Arroyos, Lane",Lane Arroyos,WES_HIL,6.083333333,0
"Arsich, Liam",Liam Arsich,TOL_ROC,6.25,0
"Arthur, Jack",Jack Arthur,TCU_HFG,6.083333333,0
"Artigues, Casey",Casey Artigues,NIC_COL,5.666666667,0
"Arvidson, Brandon",Brandon Arvidson,TEN_VOL,6.416666667,0
"Aschettino, AJ",AJ Aschettino,NOR_HUS,6.083333333,0
"Asencio, Dorsy",Dorsy Asencio,RHO_RAM,6.166666667,0
"Ash, Trenton",Trent Ash,MIS_BEA,5.833333333,0
"Ashby, Cooper",Cooper Ashby,WRI_RAI,6.333333333,0
"Ashby, Lenny",Lenny Ashby,MEX_LOB,5.583333333,0
"Ashe III, Charles",Charles Ashe,GRA_TIG,5.833333333,0
"Ashe, Grayson",Grayson Ashe,JAC_GAM,6,0
"Ashford, Ryan",Ryan Ashford,ASU_RED,6.166666667,0
"Ashlock, Mason",Mason Ashlock,RIC_OWL,6.166666667,0
"Aslaksen, Evan",Evan Aslaksen,STE_LUM,6.25,0
"Atchley, Ethan",Ethan Atchley,RIC_OWL,6,0
"Ates, Trey",Trey Ates,ARM_BLA,6.083333333,0
"Atkins, Hunter",Hunter Atkins,GEO_PAN,6.083333333,0
"Atkinson, Bobby",Bobby Atkinson,MIS_BEA,5.833333333,0
"Atkinson, Charlie",Charlie Atkinson,BAY_BEA,6.416666667,0
"Aude, Max",Max Aude,PEP_WAV,6.333333333,0
"Augedahl, Tristan",Tristan Augedahl,SOU_JAC,6.666666667,0
"August, Tyler",Tyler August,LIB_FLA,6.25,0
"Augustin, Matt",Matt Augustin,VIR_CAV,6.25,0
"Ault, Mason",Mason Ault,ETS_BUC,6,0
"Austin, Ira",Ira Austin,KEN_WIL,6.166666667,0
"Austin, Owen",Owen Austin,WCC,6,0
"Avalos, Anthony",Anthony Avalos,HBU_HUS,5.833333333,0
"Avery, Tyler",Tyler Avery,NIC_COL,6.333333333,0
"Ayala, Bryson",Bryson Ayala,TUL_GRE,6.416666667,0
"Ayala, Luis",Luis Ayala,SOU_JAG,5.916666667,0
"Aycock, Cameron",Cameron Aycock,JMU_DUK,5.583333333,0
"Aycock, Grant",Grant Aycock,UNC_SPA,6.333333333,0
"Ayers, Andrew",Andrew Ayers,STB_BON,6.25,0
"Ayers, David",David Ayers,BUT_BUL,6.333333333,0
"Azarieh, Rj",RJ Azarieh,SPU_PEA,6.083333333,0
"Azemar, Hunter",Hunter Azemar,TEX_ISL,6.166666667,0
"Azpilcueta, Nico",Nico Azpilcueta,TRO_TRJ,6.166666667,0
"Babcock, Luke",Luke Babcock,MER_UNI,6,0
"Baber, Kaine",Kaine Baber,CIT_BUL,6.166666667,0
"Babione, Jackson",Jackson Babione,MAN_JAS,5.916666667,0
"Bach, Jordan",Jordan Bach,KAN_JAY,6,0
"Bachman, Brayden",Brayden Bachman,ECU_PIR,5.833333333,0
"Backstrom, Hunter",Hunter Backstrom,CAL_HIG,5.833333333,0
"Backus, Johnny",Johnny Backus,PEP_WAV,6.416666667,0
"Bacosa, Kyler",Kyler Bacosa,SAN_SPA,6.25,0
"Bacura, Nick",Nick Bacura,SAN_DON,5.833333333,0
"Bade, Kyle",Kyle Bade,SAN_TOR,5.916666667,0
"Badylak, Clay",Clay Badylak,MTSU_BLU,6,0
"Baer, TJ",TJ Baer,MAR_RED,5.75,0
"Baez, Danny",Danny Baez,FAU_OWL,6.083333333,0
"Baez, Nico",Nico Bañez,DAR_GRE,5.666666667,0
"Baftiri, Ximi",Ximi Baftiri,EVA_ACE,6.083333333,0
"Bagania, Jacob",Jacob Bagania,UMBC_RET,5.833333333,0
"Bagby, Noah",Noah Bagby,SOU_JAG,5.833333333,0
"Baglino, Aidan",Aidan Baglino,FAI_STA,6,0
"Bagnerise , Julius",Julius Bagnerise,GEO_PAT,5.75,0
"Bagnerise, Julius",Julius Bagnerise,GEO_PAT,5.75,0
"Bagwell, Cameron",Cameron Bagwell,WAK_DEA,6.416666667,0
"Bahl, Jaden",Jaden Bahl,MCN_COW,6,0
"Bailey, Carter",Carter Bailey,GEO_PAN,6,0
"Bailey, Hayden",Hayden Bailey,CEN_MIC,6.333333333,0
"Bailey, Myles",Myles Bailey,FLO_SEM,6.333333333,0
"Bailey, Ryan",Ryan Bailey,MAR_TER,6.083333333,0
"Bailey, Smith",Smith Bailey,ARI_WIL,6.333333333,0
"Baillargeon, Chris",Chris Baillargeon,CRE_BLU,6,0
"Baiotto, Ethan",Ethan Baiotto,TEN_VOL,6.25,0
"Baird, Tim",Tim Baird,MAR_THU,6.166666667,0
"Baird, Tyler",Tyler Baird,VAN_COM,6.333333333,0
"Baisley, Logan",Logan Baisley,FGCU,6.333333333,0
"Bak, Brandon",Brandon Bak,UIC_FLA,6.083333333,0
"Bak, Tyler",Tyler Bak,SOU_GAM,6,0
"Baker, Adam",Adam Baker,CHA_FOR,6.5,0
"Baker, Cade",Cade Baker,TOL_ROC,6,0
"Baker, Cayden",Cayden Baker,BAY_BEA,5.916666667,0
"Baker, Davis",Davis Baker,PEN_QUA,6.166666667,0
"Baker, Derek",Derek Baker,WM_TRI,6.083333333,0
"Baker, Eli",Eli Baker,RAD_HIG,6.166666667,0
"Baker, George",George Baker,LOU_CAR,6.083333333,0
"Baker, Holden",Holden Baker,PRE_BLH,6.25,0
"Baker, Jackson",Jackson Baker,HOU_COU,6.083333333,0
"Baker, Jaxon",Jaxon Baker,LON_DIR,6.416666667,0
"Baker, Logan",Logan Baker,BUT_BUL,6.333333333,0
"Baker, Ty",Ty Baker,RIC_OWL,6.333333333,0
"Baker, Wes",Wes Baker,SAM_BEA,6.083333333,0
"Baker, Will",Will Baker,GIT_YEL,6,0
"Baker-Livingston, Ben",Ben Baker-Livingston,JUD,6.166666667,0
"Bakes, Brayden",Brayden Bakes,ILL_RED,5.75,0
"Bakes, Ryan",Ryan Bakes,ILL_RED,5.833333333,0
"Bakus, Jack",Jack Bakus,BAL_CAR,6.333333333,0
"Balcer, Jack",Jack Balcer,QUI_BOB,6.083333333,0
"Balcom, Nicholas",Nick Balcom,QUI_BOB,6.25,0
"Baldrate, Jackson",Jackson Baldrate,PRI_TIG,6.166666667,0
"Baldridge, Cade",Cade Baldridge,KAN_JAY,5.75,0
"Baldwin, Gavin",Gavin Baldwin,NIU_HUS,6.25,0
"Balius, Gavin",Gavin Balius,BAL_CAR,6.083333333,0
"Ball, Bryant",Bryant Ball,BYU_COU,5.833333333,0
"Ball, Connor",Connor Ball,STE_HAT,6,0
"Ball, Ethan",Ethan Ball,VIR_TEC,6.083333333,0
"Ball, Nathan",Nate Ball,CEN_MIC,6.333333333,0
"Ball, Tyler",Tyler Ball,BYU_COU,6.083333333,0
"Ballard, Carson",Carson Ballard,GIT_YEL,6.083333333,0
"Ballard, Easton",Easton Ballard,SAM_BEA,6.083333333,0
"Ballard, Nicholas",Nicholas Ballard,LOU_CAR,6,0
"Ballard, Riley",Riley Ballard,CIT_BUL,6.416666667,0
"Balleau, Owen",Owen Balleau,LON_ISL22,6.25,0
"Ballin, Jordan",Jordan Ballin,UTS_ROA,5.75,0
"Ballinger, Brady",Brady Ballinger,KAN_JAY,6.166666667,0
"Balmaceda, Elian",Elian Balmaceda,STE_LUM,5.75,0
"Baltz, Zane",Zane Baltz,ALA_HOR,6.25,0
"Banda, Cristien",Cristien Banda,LON_DIR,6.083333333,0
"Banker, Brady",Brady Banker,IND_SYC,5.916666667,0
"Banks, Ali",Ali Banks,PUR_BOI,6.083333333,0
"Banks, Hagan",Hagan Banks,ALA_CRI,6.333333333,0
"Banks, Will",Will Banks,DAV_WIL,6.5,0
"Banner, Dylan",Dylan Banner,ALB_GRE,6.416666667,0
"Banning, Trevor",Trevor Banning,SAN_BRO,6,0
"Banuelos, Jackson",Jackson Banuelos,CAL_MAT,5.916666667,0
"Baptist, Jaxon",Jaxon Baptist,ALA_HOR,5.916666667,0
"Baran, Joey",Joey Baran,PIT_PAN,5.75,0
"Baratta, Logan",Logan Baratta,JUD,5.75,0
"Barber, Brett",Brett Barber,NCB,5.833333333,0
"Barber, Edyn",Edyn Barber,ALA_ANM,6.333333333,0
"Barberi, Jackson",Jackson Barberi,FLA_GAT,6.333333333,0
"Barbero, Danny",Danny Barbero,MCN_COW,5.5,0
"Barbier, Luke",Luke Barbier,SOU_LIO,5.833333333,0
"Barbour, Jake",Jake Barbour,UNC_SPA,5.75,0
"Barbrey, Miles",Miles Barbrey,CIT_BUL,5.75,0
"Barclay, Aiden",Aiden Barclay,COR_BRE,6.25,0
"Barczi, Colin",Colin Barczi,VAN_COM,6.25,0
"Bard, Luke",Luke Bard,HBU_HUS,6.25,0
"Bardi, Aidan",Aidan Bardi,MAI_BLA,5.833333333,0
"Barela, Mason",Mason Barela,COR_BRE,5.666666667,0
"Barfield, Brett",Brett Barfield,GIT_YEL,6.166666667,0
"Barfield, Jaden",Jaden Barfield,OKL_SOO,6,0
"Bargo, Dalton",Dalton Bargo,NOR_WOL,6.083333333,0
"Barham, Collier",Collier Barham,SAL_JAG,6.083333333,0
"Barile, Garrison",Garrison Barile,CHA_BUC,6.166666667,0
"Barjam, Zahir",Zahir Barjam,WES_MOU,5.833333333,0
"Barkal, Oliver",Oliver Barkal,MER_COL1,5.833333333,0
"Barker, Colby",Colby Barker,MER_COL1,6.416666667,0
"Barlow, Billy",Billy Barlow,FLA_GAT,6.166666667,0
"Barna, Branden",Branden Barna,NCA_BUL,6.083333333,0
"Barna, Cal",Cal Barna,UNL_REB,6.25,0
"Barnes, Bradyn",Bradyn Barnes,NMS_AGG,6.166666667,0
"Barnes, Rowen",Rowen Barnes,CAL_AGO,6.25,0
"Barnes, Trenton",Trent Barnes,HBU_HUS,6.166666667,0
"Barnett, Caleb",Caleb Barnett,ALA_CRI,6.5,0
"Barnett, Michael",Michael Barnett,UCLA,6.333333333,0
"Barnett, Spencer",Spencer Barnett,PEN_NIT,6.166666667,0
