co,team_abbr,Team,Primary Color,Secondary Color,NCAA_img,bref_name
1,LOU_CAR,Louisville,#C9001F,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/louisville.svg,Louisville Cardinals
2,NOT_IRI,Notre Dame,#0C2340,#DAAA00,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/notre-dame.svg,Notre Dame Fighting Irish
3,WAK_DEA,Wake Forest,#CEB888,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/wake-forest.svg,Wake Forest Demon Deacons
4,FLO_SEM,Florida St.,#782F40,#CEB888,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/florida-st.svg,Florida State Seminoles
5,NOR_WOL,NC State,#CC0000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina-st.svg,NC State Wolfpack
6,CLE_TIG,Clemson,#F56600,#522D80,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/clemson.svg,Clemson Tigers
7,BOC_EAG,Boston College,#8C2232,#DBCCA6,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/boston-college.svg,Boston College Eagles
8,MIA_HUR,Miami (FL),#F47321,#046A38,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/miami-fl.svg,Miami Hurricanes
9,VIR_TEC,Virginia Tech,#FF8200,#CC0000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg,Virginia Tech Hokies
10,VIR_CAV,Virginia,#232D4B,#F84C1E,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/virginia.svg,Virginia Cavaliers
11,NOR_TAR,North Carolina,#7BAFD4,#13294B,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina.svg,North Carolina Tar Heels
12,GIT_YEL,Georgia Tech,#B3A369,#003057,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/georgia-tech.svg,Georgia Tech Yellow Jackets
13,PIT_PAN,Pittsburgh,#041E42,#FFB81C,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/pittsburgh.svg,Pittsburgh Panthers
14,DUK_BLU,Duke,#013088,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/duke.svg,Duke Blue Devils
15,TCU_HFG,TCU,#4D1979,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/tcu.svg,TCU Horned Frogs
16,OKL_COW,Oklahoma St.,#FF8200,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/oklahoma-st.svg,Oklahoma State Cowboys
17,OKL_SOO,Oklahoma,#841617,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/oklahoma.svg,Oklahoma Sooners
18,TEX_RAI,Texas Tech,#E90802,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-tech.svg,Texas Tech Red Raiders
19,TEX_LON,Texas,#BF5700,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/texas.svg,Texas Longhorns
20,WES_MOU,West Virginia,#002855,#EAAA00,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-virginia.svg,West Virginia Mountaineers
21,KAN_WIL,Kansas St.,#512888,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/kansas-st.svg,Kansas State Wildcats
22,BAY_BEA,Baylor,#154734,#FFB81C,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/baylor.svg,Baylor Bears
23,KAN_JAY,Kansas,#0051BA,#E8000D,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/kansas.svg,Kansas Jayhawks
24,MAR_TER,Maryland,#e21833,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg,Maryland Terrapins
25,RUT_SCA,Rutgers,#CC0033,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/rutgers.svg,Rutgers Scarlet Knights
26,IOW_HAW,Iowa,#FFCD00,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg,Iowa Hawkeyes
27,ILL_ILL,Illinois,#E84A27,#13294B,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/illinois.svg,Illinois Fighting Illini
28,MIC_WOL,Michigan,#00274C,#FFCB05,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/michigan.svg,Michigan Wolverines
29,PEN_NIT,Penn St.,#041E42,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/penn-st.svg,Penn State Nittany Lions
30,PUR_BOI,Purdue,#CDB87D,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg,Purdue Boilermakers
31,NOR_CAT,Northwestern,#4E2A84,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/northwestern.svg,Northwestern Wildcats
32,IU,Indiana,#990000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/indiana.svg,Indiana Hoosiers
33,NEB,Nebraska,#D00000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/nebraska.svg,Nebraska Cornhuskers
34,OSU_BUC,Ohio St.,#CE0F3D,#B0B7BC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/ohio-st.svg,Ohio State Buckeyes
35,MIC_SPA,Michigan St.,#18453B,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/michigan-st.svg,Michigan State Spartans
36,MIN_GOL,Minnesota,#7A0019,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/minnesota.svg,Minnesota Golden Gophers
37,STA_CAR,Stanford,#8C1515,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/stanford.svg,Stanford Cardinal
38,ORE_BEA,Oregon St.,#FF8200,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/oregon-st.svg,Oregon State Beavers
39,UCLA,UCLA,#2774AE,#F2A900,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/ucla.svg,UCLA Bruins
40,ORE_DUC,Oregon,#007030,#FEE11A,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/oregon.svg,Oregon Ducks
41,ARI_WIL,Arizona,#0c234b,#AB0520,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/arizona.svg,Arizona Wildcats
42,WAS_HUS,Washington,#33006F,#E8D3A2,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/washington.svg,Washington Huskies
43,CAL_BEA,California,#013088,#FDB515,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/california.svg,California Golden Bears
44,ARI_SUN,Arizona St.,#FFC627,#8C1D40,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg,Arizona State Sun Devils
45,WAS_COU,Washington St.,#981E32,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/washington-st.svg,Washington State Cougars
46,UTA_UTE,Utah,#CC0000,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/utah.svg,Utah Utes
47,SOU_TRO,Southern California,#990000,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-california.svg,USC Trojans
48,TEN_VOL,Tennessee,#FF8200,#4B4B4B,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee.svg,Tennessee Volunteers
49,FLA_GAT,Florida,#003087,#FA4616,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/florida.svg,Florida Gators
50,GEO_BUL,Georgia,#BA0C2F,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/georgia.svg,Georgia Bulldogs
51,VAN_COM,Vanderbilt,#CFAE70,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vanderbilt.svg,Vanderbilt Commodores
52,SOU_GAM,South Carolina,#73000A,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/south-carolina.svg,South Carolina Gamecocks
53,KEN_WIL,Kentucky,#0033A0,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/kentucky.svg,Kentucky Wildcats
54,MIZ_TIG,Missouri,#F1B82D,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/missouri.svg,Missouri Tigers
55,TEX_AGG,Texas A&M,#500000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-am.svg,Texas A&M Aggies
56,ARK_RAZ,Arkansas,#A41F35,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,Arkansas Razorbacks
57,LSU_TIG,LSU,#461D7C,#FDD023,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lsu.svg,LSU Tigers
58,AUB_TIG,Auburn,#F26522,#03244d,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg,Auburn Tigers
59,OLE_REB,Ole Miss,#14213D,#CE1126,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ole-miss.svg,Ole Miss Rebels
60,ALA_CRI,Alabama,#B30838,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama.svg,Alabama Crimson Tide
61,MSU_BDG,Mississippi St.,#5D1725,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/mississippi-st.svg,Mississippi State Bulldogs
62,UCF_KNI,UCF,#B7A369,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/ucf.svg,Central Florida Knights
63,CIN_BEA,Cincinnati,#E00122,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/cincinnati.svg,Cincinnati Bearcats
64,ECU_PIR,East Carolina,#582C83,#FFC72C,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/east-carolina.svg,East Carolina Pirates
65,HOU_COU,Houston,#C8102E,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/houston.svg,Houston Cougars
66,MEM_TIG,Memphis,#003DA5,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/memphis.svg,Memphis Tigers
67,USF_BUL,South Fla.,#006747,#CFC493,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/south-fla.svg,South Florida Bulls
68,TUL_GRE,Tulane,#6FC5E8,#255C4E,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/tulane.svg,Tulane Green Wave
69,WIC_SHO,Wichita St.,#FFD100,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/wichita-st.svg,Wichita State Shockers
70,CAM_CAM,Campbell,#FF8200,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/campbell.svg,Campbell Fighting Camels
71,USC_UPS,USC Upstate,#D8D8D8,#00833e,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/usc-upstate.svg,USC Upstate Spartans
72,NCA_BUL,UNC Asheville,#041E42,#003DA5,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-asheville.svg,UNC Asheville Bulldogs
73,HIG_PAN,High Point,#5C2E91,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/high-point.svg,High Point Panthers
74,CHA_BUC,Charleston So.,#FFB81C,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/charleston-so.svg,Charleston Southern Buccaneers
75,GAR_RUN,Gardner-Webb,#CC0000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/gardner-webb.svg,Gardner-Webb Runnin' Bulldogs
76,WIN_EAG,Winthrop,#8B0000,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/winthrop.svg,Winthrop Eagles
77,LON_LAN,Longwood,#C8C9C7,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/longwood.svg,Longwood Lancers
78,PRE_BLH,Presbyterian,#9D2235,#CC0000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/presbyterian.svg,Presbyterian Blue Hose
79,RAD_HIG,Radford,#CC0000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/radford.svg,Radford Highlanders
