PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
15,2026-02-13,18:42:53,1,1,"Fink, Carter",10149505,Right,NIA_EAG,"Fryman, Bennett",814538,Left,TEX_BOB,Undefined,1,Bottom,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.98201,-0.744481,-2.698276,2193.442905,238.075017,02:00:00,5.65564,1.29522,5.63294,-23.39234,10.19162,14.54068,3.01083,-0.01255,83.52323,-5.10637,-0.103268,0.417097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.11489,5.72359,-1.07467,50,5.57742,5.61514,-133.35767,-2.5666,-14.52552,30.29315,-21.92893,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260213-TexasStateUniversity-1,195529b0-093e-11f1-ac8a-636ab6249115,90.36849,NA,NA,8.45878,NA,NA,NA,NA,NA,NA,d210f2de-7bed-4397-9b5d-61b61c9d125f,2026-02-14,00:42:53,2026-02-14T00:42:53Z,2026-02-14T00:42:53Z,NA,v3,471452,471382,78aa5071c0dd46b4a8b46e56e294f76a,"Green, Jason",1000145397,Right,NIA_EAG,574fcb83-368d-4588-a3f2-5f2fc6fb06a8,54.86695,-134.45869,15.14658,5.65622,-1.76958,-10.96447,-1.28835,6.14308,-7.26276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,222.011379,9.100158,2165.834852,0.987413,01:30:00,-0.183933,-0.662853,-0.725806,-12.62685,-34.828355,-24.38269,157.489038,31.329925,0.327034,0.519965,-0.789104,33.382148,19.08887,0.519965,0.327034,0.789104,-33.382148,-19.08887,-0.519965,-0.327034,0.789104,-157.489038,-31.329925,-0.327034,-0.519965,-0.789104
16,2026-02-13,18:43:07,1,2,"Fink, Carter",10149505,Right,NIA_EAG,"Fryman, Bennett",814538,Left,TEX_BOB,Undefined,1,Bottom,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.88528,-2.752159,-4.387226,2232.941733,231.82368,01:45:00,5.66786,1.05346,6.03114,-22.00529,12.15359,13.92804,1.27585,-1.85684,82.43365,-6.887881,-1.889159,0.420652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.44788,7.4437,-0.71708,50,5.4401,9.48045,-131.43558,-7.03933,-14.64574,30.18477,-19.2692,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260213-TexasStateUniversity-1,21943760-093e-11f1-ac8a-636ab6249115,89.60473,NA,NA,8.45162,NA,NA,NA,NA,NA,NA,d210f2de-7bed-4397-9b5d-61b61c9d125f,2026-02-14,00:43:07,2026-02-14T00:43:07Z,2026-02-14T00:43:07Z,NA,v3,471452,471382,78aa5071c0dd46b4a8b46e56e294f76a,"Green, Jason",1000145397,Right,NIA_EAG,38ed2158-ad89-47d7-bcc4-0cd69099f852,54.46842,-132.4578,15.09239,5.66743,-6.38678,-9.6346,-1.04654,9.97643,-7.32287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,222.975801,7.495792,2213.860006,0.991454,01:30:00,-0.153054,-0.681348,-0.715779,-16.773123,-36.778661,-20.103281,156.018381,28.821095,0.356097,0.482076,-0.800498,31.057206,20.860697,0.482076,0.356097,0.800498,-31.057206,-20.860697,-0.482076,-0.356097,0.800498,-156.018381,-28.821095,-0.356097,-0.482076,-0.800498
17,2026-02-13,18:43:22,1,3,"Fink, Carter",10149505,Right,NIA_EAG,"Fryman, Bennett",814538,Left,TEX_BOB,Undefined,1,Bottom,0,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,89.68587,-0.31288,-2.18357,2160.815109,226.631464,01:30:00,5.53914,1.53484,5.46449,-20.13052,15.57402,15.15481,3.56852,0.75294,80.95192,-4.109669,0.512847,0.430064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.24666,8.28784,-1.35294,50,5.49817,4.25666,-129.96629,-1.37373,-13.94954,30.04408,-18.15483,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260213-TexasStateUniversity-1,2af5f320-093e-11f1-ac8a-636ab6249115,87.64377,NA,NA,8.73395,NA,NA,NA,NA,NA,NA,d210f2de-7bed-4397-9b5d-61b61c9d125f,2026-02-14,00:43:22,2026-02-14T00:43:22Z,2026-02-14T00:43:22Z,NA,v3,471452,471382,78aa5071c0dd46b4a8b46e56e294f76a,"Green, Jason",1000145397,Right,NIA_EAG,bc8143be-9bf9-4c95-b7c7-8c4e60be2002,55.03413,-131.12485,15.02204,5.53765,-0.67364,-9.07741,-1.52746,4.79459,-6.97477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,224.904771,7.578659,2141.939812,0.991265,01:30:00,-0.154722,-0.700474,-0.696705,-19.152708,-28.567528,-20.355337,163.937799,27.070052,0.246371,0.45508,-0.855689,28.005297,14.262846,0.45508,0.246371,0.855689,-28.005297,-14.262846,-0.45508,-0.246371,0.855689,-163.937799,-27.070052,-0.246371,-0.45508,-0.855689
18,2026-02-13,18:43:42,1,4,"Fink, Carter",10149505,Right,NIA_EAG,"Fryman, Bennett",814538,Left,TEX_BOB,Undefined,1,Bottom,0,1,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,91.93672,-1.884076,-2.795796,2249.542401,228.621902,01:30:00,5.85415,1.08457,5.61306,-17.65497,16.33513,17.11328,2.62158,-0.10098,82.70056,-5.240887,0.256612,0.419612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.47906,9.21449,-0.85639,50,5.68179,5.69738,-133.07553,-4.94029,-16.73573,32.67095,-15.90545,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260213-TexasStateUniversity-1,36cdb7f0-093e-11f1-ac8a-636ab6249115,89.82695,NA,NA,9.23616,NA,NA,NA,NA,NA,NA,d210f2de-7bed-4397-9b5d-61b61c9d125f,2026-02-14,00:43:42,2026-02-14T00:43:42Z,2026-02-14T00:43:42Z,NA,v3,471452,471382,78aa5071c0dd46b4a8b46e56e294f76a,"Green, Jason",1000145397,Right,NIA_EAG,fe590100-22ae-46bf-8570-8e24d3c007a4,54.88509,-134.2695,16.33548,5.85171,-4.35902,-7.95273,-1.07578,6.30899,-8.36787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8232,2.815354,1.900339,0.915015,-1.88366,2.31162,0.08077,0.07285,5.8098,-1.98042,66.78781,2.91257,-58.00285,0.07023,77.03776,-4.50592,5.87864,12.67906,-17.41739,-2.06172,-71.61915,11.4772,High,High,High,NA,NA,High,Medium,Medium,222.238994,6.336927,2235.797755,0.99389,01:30:00,-0.124135,-0.671385,-0.730639,-14.075385,-32.7375,-22.556077,161.757253,28.64195,0.274737,0.479335,-0.833521,29.901989,15.94635,0.479335,0.274737,0.833521,-29.901989,-15.94635,-0.479335,-0.274737,0.833521,-161.757253,-28.64195,-0.274737,-0.479335,-0.833521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2026-02-13,18:46:13,3,1,"Fink, Carter",10149505,Right,NIA_EAG,"Carson, Tanner",10178633,Right,TEX_BOB,Undefined,1,Bottom,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.09149,-2.520334,-2.266987,1972.082785,236.840231,02:00:00,5.82197,0.97807,5.9048,-24.30777,10.08186,13.78993,1.45333,0.02168,82.76429,-7.03447,0.209507,0.422071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.69528,6.17992,-0.80375,50,5.60518,4.5945,-130.73956,-6.57667,-13.34848,26.99647,-21.45416,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260213-TexasStateUniversity-1,90622710-093e-11f1-ac8a-636ab6249115,89.30364,NA,NA,7.3272,NA,NA,NA,NA,NA,NA,d210f2de-7bed-4397-9b5d-61b61c9d125f,2026-02-14,00:46:13,2026-02-14T00:46:13Z,2026-02-14T00:46:13Z,NA,v3,471452,471382,78aa5071c0dd46b4a8b46e56e294f76a,"Green, Jason",1000145397,Right,NIA_EAG,80fa0e14-efe5-4989-8bee-779767c0b59a,54.5976,-131.6855,13.49824,5.82245,-5.82492,-10.72708,-0.97293,5.06222,-6.67424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,219.984906,7.800905,1953.832535,0.990746,01:15:00,-0.137548,-0.641992,-0.754272,3.434743,-50.045036,-38.368246,149.739878,39.049644,0.39135,0.629994,-0.670786,43.203797,23.0385,0.629994,0.39135,0.670786,-43.203797,-23.0385,-0.629994,-0.39135,0.670786,-149.739878,-39.049644,-0.39135,-0.629994,-0.670786
