stat_type,player_name,team,program_name,source_group,njcaa_region,state,col_1,yr,pos,gp,tc,po,a,e,pb,f,dp,sba,rcs,rcs_1,ci,source_url,scraped_at,ab,h,rbi,bb,2b,3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go_fo,pa,era,w,l,app,gs,sv,ip,r,er,k_9,whip,bf,wp,g,sb,cs,ops,gp_gs,tb,so,gdp,ob,sb_att,bio_link,w_l,app_gs,cg,sho,b_avg,bk,sfa,sha,c,fld,csb,no,gp_from_gp_gs,gs_from_gp_gs,app_from_app_gs,gs_from_app_gs,w_from_w_l,l_from_w_l,sb_from_sb_att,cs_from_sb_att,fpct,stats_team_name
fielding,Aaron Brashear,Alvin College,Alvin College,Region 14,14,TX,29,RS FR,RHP,6,1,0,0,1,,0,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Alvin College
fielding,Ethan Tyler,Alvin College,Alvin College,Region 14,14,TX,17,Fr,RHP,9,1,0,0,1,,0,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Alvin College
fielding,Aiden Fiala,Alvin College,Alvin College,Region 14,14,TX,9,Fr,RHP,13,6,1,2,3,,0.5,,1,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,Alvin College
fielding,Justan Autry,Alvin College,Alvin College,Region 14,14,TX,20,RS SO,RHP,10,6,1,3,2,,0.667,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,Alvin College
fielding,Peyton Miller,Alvin College,Alvin College,Region 14,14,TX,42,RS Fr,LHP,14,3,0,2,1,,0.667,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,Alvin College
fielding,Francisco Leija,Alvin College,Alvin College,Region 14,14,TX,10,RS SO,RHP,11,4,0,3,1,,0.75,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,Alvin College
fielding,Braeden Harris,Alvin College,Alvin College,Region 14,14,TX,36,SO,RHP,17,13,1,10,2,,0.846,1,1,1,0.5,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.846,Alvin College
fielding,Cole Fenton,Alvin College,Alvin College,Region 14,14,TX,22,Fr,RHP,16,8,4,3,1,,0.875,,3,1,0.25,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,Alvin College
fielding,Hudson Depriest,Alvin College,Alvin College,Region 14,14,TX,14,Fr,INF,49,164,71,73,20,,0.878,16,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878,Alvin College
fielding,James Dorotik,Alvin College,Alvin College,Region 14,14,TX,16,Fr,INF,44,124,63,47,14,,0.887,6,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.887,Alvin College
fielding,Sam Taylor,Alvin College,Alvin College,Region 14,14,TX,19,Fr,INF,20,64,38,19,7,,0.891,2,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.891,Alvin College
fielding,Ivan Marron,Alvin College,Alvin College,Region 14,14,TX,28,Fr,IF,23,76,47,21,8,,0.895,1,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.895,Alvin College
fielding,Chase Lovick,Alvin College,Alvin College,Region 14,14,TX,1,RS SO,OF,41,49,41,3,5,,0.898,1,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898,Alvin College
fielding,Dylan Marbury,Alvin College,Alvin College,Region 14,14,TX,2,RS FR,OF,23,39,35,1,3,,0.923,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.923,Alvin College
fielding,Jayce Richardson,Alvin College,Alvin College,Region 14,14,TX,5,Fr,2B,51,158,76,73,9,,0.943,14,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.943,Alvin College
fielding,James Rheaume,Alvin College,Alvin College,Region 14,14,TX,44,RS FR,RHP,26,123,114,4,5,,0.959,11,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959,Alvin College
fielding,Justin Garcia Hernandez,Alvin College,Alvin College,Region 14,14,TX,45,Fr,OF,50,50,45,3,2,,0.96,1,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,Alvin College
fielding,Asa Sampson,Alvin College,Alvin College,Region 14,14,TX,8,Fr,OF/RHP,48,66,57,7,2,,0.97,1,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,Alvin College
fielding,Jackson Castillo,Alvin College,Alvin College,Region 14,14,TX,30,Fr,C,54,153,142,7,4,14,0.974,,46,5,0.098,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,Alvin College
fielding,John Moya,Alvin College,Alvin College,Region 14,14,TX,3,SO,OF,29,49,47,1,1,,0.98,2,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,Alvin College
fielding,Ronnie Rouse,Alvin College,Alvin College,Region 14,14,TX,27,Fr,1B,31,170,154,13,3,,0.982,10,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982,Alvin College
fielding,Nayden Ramirez,Alvin College,Alvin College,Region 14,14,TX,13,So,C,51,312,283,24,5,7,0.984,1,81,22,0.214,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984,Alvin College
fielding,Paul Acosta,Alvin College,Alvin College,Region 14,14,TX,6,RS SO,OF,5,5,1,4,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Josiah Bradford-Jackson,Alvin College,Alvin College,Region 14,14,TX,12,RS SO,RHP,12,1,0,1,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
