program_name,stats_team_name,source_group,njcaa_region,state,source_system,base_team_url,include,notes
Alvin College,Alvin College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege,TRUE,candidate Region 14 Presto team page
Angelina College,Angelina College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/angelinacollege,TRUE,candidate Region 14 Presto team page
Blinn College,Blinn College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/blinncollege,TRUE,candidate Region 14 Presto team page
Bossier Parish Community College,Bossier Parish CC,Region 14,14,LA,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/bossierparishcommunitycollege,TRUE,candidate Region 14 Presto team page
Coastal Bend College,Coastal Bend College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/coastalbendcollege,TRUE,candidate Region 14 Presto team page
Galveston College,Galveston College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/galvestoncollege,TRUE,candidate Region 14 Presto team page
Navarro College,Navarro College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/navarrocollege,TRUE,candidate Region 14 Presto team page
Northeast Texas Community College,Northeast Texas CC,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/northeasttexascommunitycollege,TRUE,candidate Region 14 Presto team page
Panola College,Panola College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/panolacollege,TRUE,candidate Region 14 Presto team page
Paris Junior College,Paris Junior College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/parisjuniorcollege,TRUE,candidate Region 14 Presto team page
San Jacinto College-North,San Jacinto College-North,Region 14,14,TX,sidearm_stats,https://sanjacsports.com/sports/baseball/stats,TRUE,official San Jacinto cumulative stats page
Tyler Junior College,Tyler Junior College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/tylerjuniorcollege,TRUE,candidate Region 14 Presto team page
Wharton County Junior College,Wharton County Junior College,Region 14,14,TX,presto_team,https://region14.prestosports.com/sports/bsb/2025-26/teams/whartoncountyjuniorcollege,TRUE,candidate Region 14 Presto team page
Amarillo College,Amarillo College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/amarillocollege,TRUE,candidate Region 5 Presto team page
Cisco College,Cisco College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/ciscocollege,TRUE,candidate Region 5 Presto team page
Clarendon College,Clarendon College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/clarendoncollege,TRUE,candidate Region 5 Presto team page
Collin County Community College,Collin County Community College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/collincountycommunitycollege,TRUE,candidate Region 5 Presto team page
Dallas College Brookhaven,Dallas College Brookhaven,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegebrookhaven,TRUE,candidate Region 5 Presto team page
Dallas College Cedar Valley,Dallas College Cedar Valley,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegecedarvalley,TRUE,candidate Region 5 Presto team page
Dallas College Eastfield,Dallas College Eastfield,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegeeastfield,TRUE,candidate Region 5 Presto team page
Dallas College Mountain View,Dallas College Mountain View,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegemountainview,TRUE,candidate Region 5 Presto team page
Dallas College North Lake,Dallas College North Lake,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegenorthlake,TRUE,candidate Region 5 Presto team page
Dallas College Richland,Dallas College Richland,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegerichland,TRUE,candidate Region 5 Presto team page
El Paso Community College,El Paso CC,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/elpasocommunitycollege,TRUE,candidate Region 5 Presto team page
Frank Phillips College,Frank Phillips College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/frankphillipscollege,TRUE,candidate Region 5 Presto team page
Grayson College,Grayson College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/graysoncollege,TRUE,candidate Region 5 Presto team page
Hill College,Hill College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/hillcollege,TRUE,candidate Region 5 Presto team page
Howard College,Howard College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/howardcollege,TRUE,candidate Region 5 Presto team page
McLennan Community College,McLennan CC,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/mclennancommunitycollege,TRUE,candidate Region 5 Presto team page
Midland College,Midland College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/midlandcollege,TRUE,candidate Region 5 Presto team page
New Mexico Junior College,New Mexico Junior College,Region 5,5,NM,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicojuniorcollege,TRUE,candidate Region 5 Presto team page
New Mexico Military Institute,New Mexico Military Institute,Region 5,5,NM,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicomilitaryinstitute,TRUE,candidate Region 5 Presto team page
North Central Texas College,North Central Texas College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/northcentraltexascollege,TRUE,candidate Region 5 Presto team page
Odessa College,Odessa College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/odessacollege,TRUE,candidate Region 5 Presto team page
Ranger College,Ranger College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/rangercollege,TRUE,candidate Region 5 Presto team page
South Plains College,South Plains College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/southplainscollege,TRUE,candidate Region 5 Presto team page
Southwestern Christian College,Southwestern Christian College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/southwesternchristiancollege,TRUE,candidate Region 5 Presto team page
Temple College,Temple College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/templecollege,TRUE,candidate Region 5 Presto team page
Vernon College,Vernon College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/vernoncollege,TRUE,candidate Region 5 Presto team page
Weatherford College,Weatherford College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/weatherfordcollege,TRUE,candidate Region 5 Presto team page
Western Texas College,Western Texas College,Region 5,5,TX,presto_team,https://region5.prestosports.com/sports/bsb/2025-26/teams/westerntexascollege,TRUE,candidate Region 5 Presto team page
Johnson County Community College,Johnson County CC,Extra,6,KS,presto_team,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/johnsoncountycommunitycollege,TRUE,verified KJCCC Presto team page
Cowley County Community College,Cowley County CC,Extra,6,KS,presto_team,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/cowleycountycommunitycollege,TRUE,verified KJCCC Presto team page
Seminole State College (OK),Seminole State College (OK),Extra,2,OK,presto_team,https://sscathletics.com/sports/bsb/2025-26/teams,TRUE,user provided baseball page; verified Presto team stats endpoint
Eastern Oklahoma State College,Eastern Oklahoma State College,Extra,2,OK,presto_team,https://www.eoscathletics.com/sports/bsb/2025-26/teams,TRUE,user provided baseball page; verified Presto team stats endpoint
Connors State College,Connors State College,Extra,2,OK,presto_team,https://www.connorsathletics.com/sports/bsb/2025-26/teams,TRUE,user provided baseball page; verified Presto team stats endpoint
Wabash Valley College,Wabash Valley College,Extra,24,IL,presto_team,https://www.wvcwarriorathletics.com/sports/bsb/2025-26/teams,TRUE,user provided baseball page; verified Presto team stats endpoint
Iowa Western Community College,Iowa Western CC,Extra,11,IA,presto_team,https://www.goreivers.com/sports/bsb/2025-26/teams,TRUE,user provided baseball page; verified Presto team stats endpoint
Walters State Community College,Walters State CC,Extra,7,TN,presto_player_pages,https://www.wsccathletics.com/sports/bsb/2025-26/teams/waltersstatecommunitycollege,FALSE,user provided team page; requires roster/player-page stat crawl
Louisiana State University Eunice,Louisiana State University Eunice,Extra,23,LA,sidearm_stats,https://athletics.lsue.edu/sports/baseball/stats,TRUE,user provided baseball page; SIDEARM cumulative stats endpoint
Yavapai College,Yavapai College,Extra,1,AZ,pending,,FALSE,site currently down per user; circle back later
Central Arizona College,Central Arizona College,Extra,1,AZ,presto_team,https://www.vaquerosports.com/sports/bsb/2025-26/teams,TRUE,user provided baseball page; verified Presto team stats endpoint
Salt Lake Community College,Salt Lake CC,Extra,18,UT,sidearm_stats,https://slccbruins.com/sports/baseball/stats,TRUE,user provided baseball page; SIDEARM cumulative stats endpoint
