program_name,stats_team_name,source_group,njcaa_region,state,source_kind,source_url,include
Central Arizona College,Central Arizona College,Extra,1,AZ,fielding,https://www.vaquerosports.com/sports/bsb/2025-26/teams?view=lineup&pos=f,TRUE
Central Arizona College,Central Arizona College,Extra,1,AZ,hitting,https://www.vaquerosports.com/sports/bsb/2025-26/teams?view=lineup&pos=h,TRUE
Central Arizona College,Central Arizona College,Extra,1,AZ,pitching,https://www.vaquerosports.com/sports/bsb/2025-26/teams?view=lineup&pos=p,TRUE
Connors State College,Connors State College,Extra,2,OK,fielding,https://www.connorsathletics.com/sports/bsb/2025-26/teams?view=lineup&pos=f,TRUE
Connors State College,Connors State College,Extra,2,OK,hitting,https://www.connorsathletics.com/sports/bsb/2025-26/teams?view=lineup&pos=h,TRUE
Connors State College,Connors State College,Extra,2,OK,pitching,https://www.connorsathletics.com/sports/bsb/2025-26/teams?view=lineup&pos=p,TRUE
Cowley County Community College,Cowley County CC,Extra,6,KS,fielding,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/cowleycountycommunitycollege?view=lineup&pos=f,TRUE
Cowley County Community College,Cowley County CC,Extra,6,KS,hitting,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/cowleycountycommunitycollege?view=lineup&pos=h,TRUE
Cowley County Community College,Cowley County CC,Extra,6,KS,pitching,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/cowleycountycommunitycollege?view=lineup&pos=p,TRUE
Eastern Oklahoma State College,Eastern Oklahoma State College,Extra,2,OK,fielding,https://www.eoscathletics.com/sports/bsb/2025-26/teams?view=lineup&pos=f,TRUE
Eastern Oklahoma State College,Eastern Oklahoma State College,Extra,2,OK,hitting,https://www.eoscathletics.com/sports/bsb/2025-26/teams?view=lineup&pos=h,TRUE
Eastern Oklahoma State College,Eastern Oklahoma State College,Extra,2,OK,pitching,https://www.eoscathletics.com/sports/bsb/2025-26/teams?view=lineup&pos=p,TRUE
Iowa Western Community College,Iowa Western CC,Extra,11,IA,fielding,https://www.goreivers.com/sports/bsb/2025-26/teams?view=lineup&pos=f,TRUE
Iowa Western Community College,Iowa Western CC,Extra,11,IA,hitting,https://www.goreivers.com/sports/bsb/2025-26/teams?view=lineup&pos=h,TRUE
Iowa Western Community College,Iowa Western CC,Extra,11,IA,pitching,https://www.goreivers.com/sports/bsb/2025-26/teams?view=lineup&pos=p,TRUE
Johnson County Community College,Johnson County CC,Extra,6,KS,fielding,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/johnsoncountycommunitycollege?view=lineup&pos=f,TRUE
Johnson County Community College,Johnson County CC,Extra,6,KS,hitting,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/johnsoncountycommunitycollege?view=lineup&pos=h,TRUE
Johnson County Community College,Johnson County CC,Extra,6,KS,pitching,https://kjccc.prestosports.com/sports/bsb/2025-26/teams/johnsoncountycommunitycollege?view=lineup&pos=p,TRUE
