stat_type,stat,programs_with_stat,total_programs,coverage_pct
fielding,a,11,12,0.917
fielding,dp,11,12,0.917
fielding,e,11,12,0.917
fielding,fpct,11,12,0.917
fielding,pb,11,12,0.917
fielding,po,11,12,0.917
fielding,sba,11,12,0.917
fielding,tc,11,12,0.917
fielding,app,8,12,0.667
fielding,g,8,12,0.667
fielding,rcs,8,12,0.667
fielding,rcs_1,8,12,0.667
fielding,ci,6,12,0.5
fielding,csb,3,12,0.25
fielding,coverage_pct,1,12,0.083
fielding,programs_with_stat,1,12,0.083
fielding,stat,1,12,0.083
fielding,total_programs,1,12,0.083
fielding,2b,0,12,0
fielding,3b,0,12,0
fielding,ab,0,12,0
fielding,avg,0,12,0
fielding,b_avg,0,12,0
fielding,bb,0,12,0
fielding,bf,0,12,0
fielding,bk,0,12,0
fielding,cg,0,12,0
fielding,cs,0,12,0
fielding,er,0,12,0
fielding,era,0,12,0
fielding,fo,0,12,0
fielding,gdp,0,12,0
fielding,go,0,12,0
fielding,go_fo,0,12,0
fielding,gs,0,12,0
fielding,h,0,12,0
fielding,hbp,0,12,0
fielding,hdp,0,12,0
fielding,hr,0,12,0
fielding,ip,0,12,0
fielding,k,0,12,0
fielding,k_9,0,12,0
fielding,l,0,12,0
fielding,obp,0,12,0
fielding,ops,0,12,0
fielding,pa,0,12,0
fielding,r,0,12,0
fielding,rbi,0,12,0
fielding,sb,0,12,0
fielding,sf,0,12,0
fielding,sfa,0,12,0
fielding,sh,0,12,0
fielding,sha,0,12,0
fielding,sho,0,12,0
fielding,slg,0,12,0
fielding,sv,0,12,0
fielding,tb,0,12,0
fielding,w,0,12,0
fielding,whip,0,12,0
fielding,wp,0,12,0
fielding,xbh,0,12,0
hitting,2b,38,39,0.974
hitting,3b,38,39,0.974
hitting,ab,38,39,0.974
hitting,avg,38,39,0.974
hitting,bb,38,39,0.974
hitting,g,38,39,0.974
hitting,h,38,39,0.974
hitting,hr,38,39,0.974
hitting,k,38,39,0.974
hitting,obp,38,39,0.974
hitting,ops,38,39,0.974
hitting,rbi,38,39,0.974
hitting,slg,38,39,0.974
hitting,cs,25,39,0.641
hitting,r,25,39,0.641
hitting,sb,25,39,0.641
hitting,hbp,16,39,0.41
hitting,sf,16,39,0.41
hitting,sh,16,39,0.41
hitting,app,13,39,0.333
hitting,pa,13,39,0.333
hitting,xbh,13,39,0.333
hitting,hdp,12,39,0.308
hitting,fo,10,39,0.256
hitting,go,10,39,0.256
hitting,go_fo,10,39,0.256
hitting,gdp,3,39,0.077
hitting,gs,3,39,0.077
hitting,tb,3,39,0.077
hitting,coverage_pct,1,39,0.026
hitting,programs_with_stat,1,39,0.026
hitting,stat,1,39,0.026
hitting,total_programs,1,39,0.026
hitting,a,0,39,0
hitting,b_avg,0,39,0
hitting,bf,0,39,0
hitting,bk,0,39,0
hitting,cg,0,39,0
hitting,ci,0,39,0
hitting,csb,0,39,0
hitting,dp,0,39,0
hitting,e,0,39,0
hitting,er,0,39,0
hitting,era,0,39,0
hitting,fpct,0,39,0
hitting,ip,0,39,0
hitting,k_9,0,39,0
hitting,l,0,39,0
hitting,pb,0,39,0
hitting,po,0,39,0
hitting,rcs,0,39,0
hitting,rcs_1,0,39,0
hitting,sba,0,39,0
hitting,sfa,0,39,0
hitting,sha,0,39,0
hitting,sho,0,39,0
hitting,sv,0,39,0
hitting,tc,0,39,0
hitting,w,0,39,0
hitting,whip,0,39,0
hitting,wp,0,39,0
pitching,app,34,35,0.971
pitching,bb,34,35,0.971
pitching,er,34,35,0.971
pitching,era,34,35,0.971
pitching,h,34,35,0.971
pitching,hr,34,35,0.971
pitching,ip,34,35,0.971
pitching,k,34,35,0.971
pitching,r,34,35,0.971
pitching,whip,34,35,0.971
pitching,k_9,31,35,0.886
pitching,g,18,35,0.514
pitching,gs,16,35,0.457
pitching,hbp,16,35,0.457
pitching,l,16,35,0.457
pitching,sv,16,35,0.457
pitching,w,16,35,0.457
pitching,wp,16,35,0.457
pitching,bf,13,35,0.371
pitching,2b,3,35,0.086
pitching,3b,3,35,0.086
pitching,ab,3,35,0.086
pitching,b_avg,3,35,0.086
pitching,bk,3,35,0.086
pitching,cg,3,35,0.086
pitching,sfa,3,35,0.086
pitching,sha,3,35,0.086
pitching,sho,3,35,0.086
pitching,coverage_pct,1,35,0.029
pitching,programs_with_stat,1,35,0.029
pitching,stat,1,35,0.029
pitching,total_programs,1,35,0.029
pitching,a,0,35,0
pitching,avg,0,35,0
pitching,ci,0,35,0
pitching,cs,0,35,0
pitching,csb,0,35,0
pitching,dp,0,35,0
pitching,e,0,35,0
pitching,fo,0,35,0
pitching,fpct,0,35,0
pitching,gdp,0,35,0
pitching,go,0,35,0
pitching,go_fo,0,35,0
pitching,hdp,0,35,0
pitching,obp,0,35,0
pitching,ops,0,35,0
pitching,pa,0,35,0
pitching,pb,0,35,0
pitching,po,0,35,0
pitching,rbi,0,35,0
pitching,rcs,0,35,0
pitching,rcs_1,0,35,0
pitching,sb,0,35,0
pitching,sba,0,35,0
pitching,sf,0,35,0
pitching,sh,0,35,0
pitching,slg,0,35,0
pitching,tb,0,35,0
pitching,tc,0,35,0
pitching,xbh,0,35,0
