PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-01-15,12:59:34,1,1,"Moore, Nolan",26,Left,TEX_BOB,"Galloway, Rashawn",1000183398,Right,TEX_BOB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,93.00476,-2.712722,1.353011,2394.531791,144.485551,10:45:00,6.50749,-1.23233,6.16243,-17.28525,14.86961,-9.84619,2.55847,-0.8027,84.73616,-5.995048,-0.423664,0.408126,98.39615,-18.061623,-22.651866,NA,NA,NA,NA,8.4049,8.00659,-13.752026,0.054834,5.49693,8.81245,1.13462,50,6.29261,-2.77026,-134.95854,-6.91471,10.08373,30.84738,-16.00821,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,533d7580-f244-11f0-99bc-ef86875cfcff,92.35483,2.4576,NA,8.2686,NA,NA,NA,1.20917,2.4576,0.90438,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,18:59:34,2026-01-15T18:59:34Z,2026-01-15T18:59:34Z,GroundBall,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,36965a46-cb22-471c-ba7a-012a3ef88647,54.33819,-135.9465,15.42369,6.50585,-6.40201,-8.0041,1.22851,-3.09321,5.04186,180,1.20727,126.83418,NA,NA,NA,NA,NA,NA,NA,2.45826,-44.81904,NA,NA,NA,NA,NA,NA,NA,0.90517,-52.93073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,148.470655,-31.42847,2043.234357,0.853292,11:00:00,0.516765,0.470395,-0.71532,20.788079,3.36907,-44.306063,174.802984,23.580366,0.083017,0.400035,-0.912732,23.66702,4.762016,0.400035,0.083017,0.912732,-23.66702,-4.762016,-0.400035,-0.083017,0.912732,-174.802984,-23.580366,-0.083017,-0.400035,-0.912732
2,2026-01-15,13:00:20,2,1,"Moore, Nolan",26,Left,TEX_BOB,"Pugh, Samson",1000108744,Right,TEX_BOB,Undefined,1,Top,1,0,0,Changeup,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.27531,-2.554062,0.245042,1241.333767,85.042618,8:45:00,6.4007,-1.50476,6.07879,-38.20014,0.12,-12.77221,0.8526,-2.34238,78.41878,-9.567805,-2.062785,0.445538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64374,1.21197,1.49231,50,6.18312,-0.02474,-123.81254,-6.79651,10.26021,25.90011,-30.30233,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,6e700b60-f244-11f0-99bc-ef86875cfcff,84.59982,NA,NA,6.85653,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:00:20,2026-01-15T19:00:20Z,2026-01-15T19:00:20Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,128d1b7f-6cf5-4fc2-b751-494a465731e3,54.42276,-124.7343,12.95005,6.40581,-5.71808,-15.15117,1.49969,-0.38989,5.13011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,117.655567,-30.454182,1070.07284,0.862035,10:00:00,0.474027,0.785378,-0.398094,-90.060311,41.361447,50.051992,115.179678,-70.624203,0.300238,-0.943363,-0.141151,81.490218,-17.471893,0.943363,-0.300238,0.141151,-81.490218,17.471893,-0.943363,0.300238,0.141151,-115.179678,70.624203,-0.300238,0.943363,-0.141151
3,2026-01-15,13:00:39,2,2,"Moore, Nolan",26,Left,TEX_BOB,"Pugh, Samson",1000108744,Right,TEX_BOB,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.86277,-3.79397,2.624697,2390.728076,147.978383,11:00:00,6.35281,-1.04785,5.82017,-14.60965,17.38438,-10.21197,1.59893,0.54323,85.73256,-6.567161,0.796219,0.407105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95052,10.26225,0.83901,50,6.03296,-5.77305,-135.92172,-9.46624,11.11855,30.12752,-12.99903,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,7a12b670-f244-11f0-99bc-ef86875cfcff,92.58662,NA,NA,8.13021,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:00:39,2026-01-15T19:00:39Z,2026-01-15T19:00:39Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,76aeb760-3aa9-4bcf-946a-459608f6629f,54.68048,-136.95524,15.06376,6.35005,-9.02031,-6.49951,1.0436,-6.15447,5.55927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,148.470267,-28.367154,2103.652056,0.879921,11:00:00,0.477512,0.490576,-0.728915,18.765604,16.631225,-43.69827,166.285934,25.106652,0.214678,0.424305,-0.879704,25.749244,12.39661,0.424305,0.214678,0.879704,-25.749244,-12.39661,-0.424305,-0.214678,0.879704,-166.285934,-25.106652,-0.214678,-0.424305,-0.879704
4,2026-01-15,13:00:59,2,3,"Moore, Nolan",26,Left,TEX_BOB,"Pugh, Samson",1000108744,Right,TEX_BOB,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.12944,-4.872874,3.240372,2554.878641,141.87867,10:45:00,6.39324,-1.12293,5.69956,-16.79469,16.38863,-11.89138,0.43448,0.90898,84.1512,-8.044288,1.116817,0.414602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11481,10.26256,0.85836,50,5.97244,-7.07679,-134.41185,-12.0114,12.82718,33.07789,-13.67186,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,85e87f70-f244-11f0-99bc-ef86875cfcff,90.91233,NA,NA,8.97824,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:00:59,2026-01-15T19:00:59Z,2026-01-15T19:00:59Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,ffaa8d73-add9-4d72-b8ae-2173253a9dc7,54.80063,-135.5881,16.53895,6.39093,-11.52523,-6.83593,1.11812,-7.53292,6.41359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,150.555115,-31.312042,2182.759606,0.85435,11:00:00,0.523428,0.462614,-0.71555,25.488417,8.506514,-30.019921,160.016221,17.90826,0.325196,0.307494,-0.894257,18.97574,18.977458,0.307494,0.325196,0.894257,-18.97574,-18.977458,-0.307494,-0.325196,0.894257,-160.016221,-17.90826,-0.325196,-0.307494,-0.894257
5,2026-01-15,13:01:20,2,4,"Moore, Nolan",26,Left,TEX_BOB,"Pugh, Samson",1000108744,Right,TEX_BOB,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.95558,-4.615837,2.127662,2396.263431,138.629725,10:30:00,6.46052,-1.21525,6.00746,-16.40363,15.5593,-12.71465,0.80472,-0.3026,85.39394,-7.719207,-0.159388,0.406906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.20158,9.74414,1.05501,50,6.0879200000000000,-4.49539,-135.92413,-11.48351,13.35218,32.28503,-14.10777,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,924838f0-f244-11f0-99bc-ef86875cfcff,92.63171,NA,NA,8.56164,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:01:20,2026-01-15T19:01:20Z,2026-01-15T19:01:20Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,a83d18ca-cd4e-4ffd-b048-00292c849e7b,54.49321,-136.98721,16.14251,6.4584,-11.01897,-7.05388,1.21027,-4.93505,6.67609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,149.12891,-28.227095,2111.299508,0.88108,11:00:00,0.462829,0.488685,-0.739579,18.252787,-8.247422,-20.719924,170.709851,20.417397,0.151292,0.348857,-0.924884,20.665961,8.701821,0.348857,0.151292,0.924884,-20.665961,-8.701821,-0.348857,-0.151292,0.924884,-170.709851,-20.417397,-0.151292,-0.348857,-0.924884
6,2026-01-15,13:01:52,2,5,"Moore, Nolan",26,Left,TEX_BOB,"Pugh, Samson",1000108744,Right,TEX_BOB,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.15029,-3.830046,2.124283,2480.608781,154.780358,11:15:00,6.37428,-0.98028,5.97483,-10.86217,21.0306,-9.36378,1.91062,0.20968,85.12721,-5.962085,0.442599,0.40646,78.94181,57.01165,47.34976,5054.718716,NA,NA,NA,NA,50.01687,NA,NA,5.47835,12.33583,0.81733,50,6.06463,-4.64129,-136.28882,-9.38834,10.18418,33.20673,-9.24187,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,a5941a50-f244-11f0-99bc-ef86875cfcff,92.73353,72.19506,NA,9.02308,NA,NA,NA,1.08538,2.0874,-0.21403,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:01:52,2026-01-15T19:01:52Z,2026-01-15T19:01:52Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,cfe0d190-94b1-41fd-99d5-1666123190b1,54.52512,-137.38694,16.60336,6.37004,-9.08272,-4.62094,0.97638,-4.97807,5.09209,207.366994,1.08538,42.71038,-17.55949,5.7695,-1.52361,0.36303,-0.07714,0.01006,6E-05,2.0874,97.11505,-26.3684,2.74975,-0.35329,0.00328,0.01751,-0.00865,0.00203,-0.21403,46.36552,-3.71615,0.10282,0.16763,-0.08064,0.02907,-0.00917,0.00175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,150.99476,-20.948832,2316.640776,0.9339,11:00:00,0.356538,0.475709,-0.804103,14.782927,19.250097,-41.819797,166.505445,22.005466,0.216353,0.374695,-0.901552,22.568325,12.494903,0.374695,0.216353,0.901552,-22.568325,-12.494903,-0.374695,-0.216353,0.901552,-166.505445,-22.005466,-0.216353,-0.374695,-0.901552
7,2026-01-15,13:02:25,2,6,"Moore, Nolan",26,Left,TEX_BOB,"Pugh, Samson",1000108744,Right,TEX_BOB,Undefined,1,Top,1,3,2,Changeup,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,NA,85.37028,-1.135778,-0.198402,985.920495,108.303199,9:30:00,6.40015,-1.38432,6.17056,-33.96588,3.90453,-8.27103,2.52045,-2.25683,78.49984,-7.429164,-1.693044,0.442916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2026,2.72768,1.40328,50,6.29709,0.75562,-124.08901,-3.55756,6.55402,24.78598,-27.92023,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,b90d9b60-f244-11f0-99bc-ef86875cfcff,85.10064,NA,NA,6.87044,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:02:25,2026-01-15T19:02:25Z,2026-01-15T19:02:25Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,1f0f7790-f499-4e39-ace6-6dbc658e1762,54.33007,-124.95092,12.39299,6.40392,-2.58666,-13.96012,1.38097,0.52771,3.27701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,114.105911,-13.392518,959.109503,0.972806,09:45:00,0.212597,0.892386,-0.398057,83.7428,-41.966126,55.238336,139.106304,-55.651922,0.36937,-0.825625,-0.426508,62.679693,-21.676788,0.825625,-0.36937,0.426508,-62.679693,21.676788,-0.825625,0.36937,0.426508,-139.106304,55.651922,-0.36937,0.825625,-0.426508
8,2026-01-15,13:03:01,3,1,"Moore, Nolan",26,Left,TEX_BOB,"Cotton, Jackson",44,Left,TEX_BOB,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.35493,3.426818,-1.343157,2651.334851,315.339419,4:30:00,6.62864,-0.84455,5.4838,-58.72452,-10.83103,12.28969,4.94593,-1.07736,70.28546,-7.285728,0.845692,0.498092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.54363,-5.91489,0.95396,50,6.89003,2.13972,-112.09795,4.69213,-8.25276,21.93577,-39.63382,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,ce4ce850-f244-11f0-99bc-ef86875cfcff,75.67363,NA,NA,7.06947,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:03:01,2026-01-15T19:03:01Z,2026-01-15T19:03:01Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,8d929872-65ef-47d0-b9ba-222e582633e1,55.01946,-113.07592,10.96789,6.64145,6.45912,-19.81691,0.85037,2.50765,-4.12638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,339.034048,-55.924067,1485.519356,0.560291,05:15:00,0.826871,-0.249631,0.503952,29.14799,-10.48884,86.978651,151.568694,6.338107,0.473195,0.110395,-0.874014,7.198824,28.241873,0.110395,0.473195,0.874014,-7.198824,-28.241873,-0.110395,-0.473195,0.874014,-151.568694,-6.338107,-0.473195,-0.110395,-0.874014
9,2026-01-15,13:03:22,3,2,"Moore, Nolan",26,Left,TEX_BOB,"Cotton, Jackson",44,Left,TEX_BOB,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.79111,-1.231338,0.884945,2393.197912,160.393441,11:15:00,6.53138,-1.11192,6.2735,-13.44536,18.86123,-6.31603,4.2755,-0.82239,83.83888,-3.855,-0.25671,0.409088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.515,10.45823,1.04921,50,6.4334,-1.80471,-134.67971,-3.219,6.38357,32.31665,-13.18092,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,dafff1f0-f244-11f0-99bc-ef86875cfcff,92.1377,NA,NA,8.95222,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:03:22,2026-01-15T19:03:22Z,2026-01-15T19:03:22Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,40cf266e-f311-4a05-95f0-0f607063e6e3,54.22364,-135.68939,16.15832,6.52753,-2.80719,-6.59046,1.10871,-2.00416,3.19179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,150.029157,-29.862738,2075.430888,0.867221,11:00:00,0.500044,0.443828,-0.743621,26.43501,6.088674,-53.308796,178.667509,15.324716,0.022427,0.264289,-0.964183,15.328666,1.285104,0.264289,0.022427,0.964183,-15.328666,-1.285104,-0.264289,-0.022427,0.964183,-178.667509,-15.324716,-0.022427,-0.264289,-0.964183
10,2026-01-15,13:03:42,3,3,"Moore, Nolan",26,Left,TEX_BOB,"Cotton, Jackson",44,Left,TEX_BOB,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.33352,-3.673953,2.822535,2527.640043,158.197779,11:15:00,6.42321,-0.94606,5.89583,-13.49749,18.28592,-6.87146,1.87849,1.10404,85.61827,-6.263869,1.591207,0.405762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33414,10.7593,0.72243,50,6.11885,-6.41526,-136.49979,-9.15328,8.11787,32.08174,-12.02175,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20260115-TexasStateUniversity-Private-2,e70f4180-f244-11f0-99bc-ef86875cfcff,92.8929,NA,NA,8.71525,NA,NA,NA,NA,NA,NA,4068eff6-423a-42de-b6ce-39f4f271b8cb,2026-01-15,19:03:42,2026-01-15T19:03:42Z,2026-01-15T19:03:42Z,NA,v3,471452,471452,NA,"Galloway, Rashawn",1000183398,NA,TEX_BOB,93b5d862-5bdf-4823-9591-0a1f34bfe4ee,54.60254,-137.57728,16.04087,6.41948,-8.74952,-6.01087,0.94247,-6.6879,4.05894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,150.570722,-29.387211,2202.391822,0.871323,11:00:00,0.499076,0.458688,-0.735206,27.295973,2.717735,-46.624603,177.388184,15.429263,0.043927,0.266048,-0.962958,15.444542,2.517623,0.266048,0.043927,0.962958,-15.444542,-2.517623,-0.266048,-0.043927,0.962958,-177.388184,-15.429263,-0.043927,-0.266048,-0.962958
