PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2025-09-03,11:33:53,1,1,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.8076,-0.567485,2.096448,1954.617768,137.329717,10:30:00,5.95523,-2.4416,5.78954,-22.4793,14.42828,-12.06855,3.55365,-1.4961,79.10581,-4.816757,-0.064313,0.437249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77241,7.9126,2.27594,50,5.89519,-4.13287,-127.26376,-1.96564,10.94445,29.68177,-19.38702,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,c797bf50-88e3-11f0-b3c0-9d9a300a2491,86.20355,NA,NA,8.70179,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:33:53,2025-09-03T16:33:53Z,2025-09-03T16:33:53Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,9b5a3b35-222c-4cb0-bcbd-b8f232d7e6a5,54.70786,-128.35708,14.84089,5.95444,-1.25152,-9.69351,2.43559,-4.53601,5.47223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,126.416829,-17.346304,1865.722065,0.95452,10:15:00,0.311059,0.771036,-0.555649,18.613188,-51.812818,36.215399,179.998502,-7.392769,2.6E-05,-0.12867,-0.991687,7.392769,-0.001485,0.12867,-2.6E-05,0.991687,-7.392769,0.001485,-0.12867,2.6E-05,0.991687,-179.998502,7.392769,-2.6E-05,0.12867,-0.991687
2,2025-09-03,11:34:06,1,2,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.90307,-0.315131,3.900319,1937.660328,144.138481,10:45:00,5.99585,-2.14088,5.28519,-22.10541,14.66938,-9.64351,3.8571,0.724,80.05804,-4.45495,2.195123,0.436462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00063,7.80327,1.7919,50,5.95139,-8.31127,-128.53547,-1.46767,9.91354,29.74555,-19.28242,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,cf8132f0-88e3-11f0-b3c0-9d9a300a2491,86.35907,NA,NA,8.84503,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:34:06,2025-09-03T16:34:06Z,2025-09-03T16:34:06Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,5625a582-b6f8-427e-8eff-ccc2a817e25c,55.2115,-129.73591,14.87278,5.99492,-0.68949,-9.64121,2.13539,-8.71135,4.95677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,127.90538,-17.970163,1843.136039,0.951217,10:15:00,0.343435,0.752221,-0.562331,21.078751,-49.721975,41.106644,176.650991,-1.089121,0.058407,-0.019008,-0.998112,1.090983,-3.348403,0.019008,-0.058407,0.998112,-1.090983,3.348403,-0.019008,0.058407,0.998112,-176.650991,1.089121,-0.058407,0.019008,-0.998112
3,2025-09-03,11:34:20,1,3,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.41207,-1.335316,2.258518,2015.835066,136.718615,10:30:00,5.99511,-2.38625,5.72623,-19.60977,16.19064,-13.9895,3.11604,-1.44734,80.33326,-5.063505,-0.243116,0.430641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82831,9.04489,2.20629,50,5.87176,-4.48798,-129.51218,-3.6267,13.06009,31.52915,-17.08428,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,d8526e80-88e3-11f0-b3c0-9d9a300a2491,87.52631,NA,NA,9.07881,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:34:20,2025-09-03T16:34:20Z,2025-09-03T16:34:20Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,029034b7-ca2e-4567-84c4-f08af39c004a,54.77177,-130.66868,15.76457,5.9933,-3.00004,-8.54214,2.37969,-4.96702,6.53004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,126.895185,-11.613699,1974.565166,0.979527,10:15:00,0.206035,0.787841,-0.580393,17.828968,-45.490472,42.140389,176.315234,8.674692,0.063532,0.150824,-0.986517,8.692388,3.642557,0.150824,0.063532,0.986517,-8.692388,-3.642557,-0.150824,-0.063532,0.986517,-176.315234,-8.674692,-0.063532,-0.150824,-0.986517
4,2025-09-03,11:34:33,1,4,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,3,0,Curveball,Slider,BallIntentional,Walk,Undefined,Undefined,0,0,NA,78.40799,0.208302,3.41029,2263.596142,311.076649,4:15:00,5.80753,-2.40952,5.03588,-51.43034,-3.70528,6.17067,1.71855,1.32599,71.33054,-9.085108,4.498627,0.497215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95662,-1.3928,2.07822,50,5.78643,-7.01543,-113.43374,-1.436,-2.51136,23.63443,-33.96172,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,dfefe500-88e3-11f0-b3c0-9d9a300a2491,75.80706,NA,NA,7.07745,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:34:33,2025-09-03T16:34:33Z,2025-09-03T16:34:33Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,c62e018c-84b5-4db3-ad25-b75c65ff5e36,55.46436,-114.56661,11.81721,5.81625,0.19188,-16.98086,2.4116,-6.89505,-1.25568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,323.639262,-70.528401,754.546128,0.33334,4:45:00,0.924446,-0.201052,0.324003,-88.319049,12.10676,27.509148,132.612265,-29.116494,0.642952,-0.486587,-0.591478,39.442843,-40.01226,0.486587,-0.642952,0.591478,-39.442843,40.01226,-0.486587,0.642952,0.591478,-132.612265,29.116494,-0.642952,0.486587,-0.591478
5,2025-09-03,11:34:47,2,1,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.67578,1.323864,1.552783,2051.013825,302.81996,4:00:00,5.7686,-2.41194,5.49213,-53.53534,-4.86445,10.05544,2.54648,-0.121,70.0044,-8.444089,3.344923,0.502118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.58217,-2.35236,2.26899,50,5.84848,-3.40275,-111.22448,0.79135,-5.68254,21.81322,-35.09132,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,e82f40d0-88e3-11f0-b3c0-9d9a300a2491,75.06686,NA,NA,6.67138,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:34:47,2025-09-03T16:34:47Z,2025-09-03T16:34:47Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,22b9382c-3edd-49d2-8e56-b1dbad016ff4,55.00969,-112.20267,10.90661,5.77771,2.36499,-17.54566,2.41587,-3.14792,-2.84127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,314.785833,-68.354428,756.545081,0.368864,4:30:00,0.915806,-0.283204,0.28477,-69.43973,-15.075278,26.65951,128.405009,-18.801214,0.741826,-0.322286,-0.58807,28.724506,-47.887202,0.322286,-0.741826,0.58807,-28.724506,47.887202,-0.322286,0.741826,0.58807,-128.405009,18.801214,-0.741826,0.322286,-0.58807
6,2025-09-03,11:35:01,2,2,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.2623,-0.453148,2.659711,2224.673747,303.352165,4:00:00,5.84103,-2.33935,5.30043,-57.09625,-7.20205,13.54831,0.65711,1.28853,69.78124,-10.763103,5.066694,0.508389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.985,-3.06792,2.08697,50,5.75787,-5.648,-110.50735,-2.79287,-7.27603,22.79231,-35.90375,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,f099a440-88e3-11f0-b3c0-9d9a300a2491,74.14089,NA,NA,6.48105,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:35:01,2025-09-03T16:35:01Z,2025-09-03T16:35:01Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,a0449e29-cfb6-4f40-b9ec-c5800456d050,55.20297,-111.57531,11.39616,5.84932,-1.11056,-17.95187,2.34362,-5.30707,-3.63802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,321.595657,-63.098954,1006.55585,0.452451,4:45:00,0.876568,-0.274004,0.395664,-79.556584,-9.493471,32.286312,134.261832,-24.44662,0.651952,-0.413845,-0.635366,33.078176,-40.688959,0.413845,-0.651952,0.635366,-33.078176,40.688959,-0.413845,0.651952,0.635366,-134.261832,24.44662,-0.651952,0.413845,-0.635366
7,2025-09-03,11:35:20,2,3,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.26805,-1.751399,1.37416,2067.015091,129.841392,10:15:00,5.96489,-2.50619,5.73475,-23.56029,13.76607,-14.91804,2.36954,-2.46941,79.04861,-6.170839,-1.29673,0.439723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99217,7.93508,2.40085,50,5.80463,-2.3956,-126.53151,-4.6257,12.80501,28.64269,-19.46048,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,fba20b20-88e3-11f0-b3c0-9d9a300a2491,85.71859,NA,NA,8.21944,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:35:20,2025-09-03T16:35:20Z,2025-09-03T16:35:20Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,ff0f6cb0-4fe2-48f2-b50d-7ac386d2f94f,54.76429,-127.60544,14.32135,5.96438,-3.89605,-9.73024,2.49967,-2.87571,6.40251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,128.21021,-15.222617,1994.489574,0.964913,10:15:00,0.25352,0.765848,-0.590936,26.909474,-54.868124,38.793674,174.631335,0.781001,0.093555,0.013631,-0.995521,0.784442,5.368165,0.013631,0.093555,0.995521,-0.784442,-5.368165,-0.013631,-0.093555,0.995521,-174.631335,-0.781001,-0.093555,-0.013631,-0.995521
8,2025-09-03,11:35:38,2,4,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.48646,-2.542533,4.269594,1964.782825,122.434759,10:00:00,5.98841,-2.27808,5.38631,-25.10364,11.55894,-16.26969,1.505,0.37563,80.80199,-7.176605,1.384829,0.435796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35493,6.89122,1.90743,50,5.74284,-8.82434,-127.98218,-6.59103,15.49152,26.80177,-20.76238,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,067ece20-88e4-11f0-b3c0-9d9a300a2491,86.49109,NA,NA,7.68447,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:35:38,2025-09-03T16:35:38Z,2025-09-03T16:35:38Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,e0cf9b65-8889-42c8-98d0-bbba22bd753f,55.11431,-129.04876,13.40088,5.98869,-5.76478,-10.38119,2.27087,-9.44083,7.74576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,127.45181,-17.378535,1875.094992,0.954352,10:15:00,0.307251,0.770131,-0.559013,18.414477,-44.35356,43.768176,171.425587,1.887491,0.149013,0.032937,-0.988287,1.90881,8.569725,0.032937,0.149013,0.988287,-1.90881,-8.569725,-0.032937,-0.149013,0.988287,-171.425587,-1.887491,-0.149013,-0.032937,-0.988287
9,2025-09-03,11:35:51,2,5,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,3,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,74.75131,-0.766854,2.331939,2030.366453,301.352495,4:00:00,5.91362,-2.38749,4.56331,-58.05641,-4.6424,10.7063,0.34511,0.72526,68.34668,-11.121772,4.210395,0.526016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.50323,-1.55063,2.13462,50,5.77937,-4.83863,-108.16768,-3.53988,-5.24798,21.74844,-33.98111,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,0eb26a20-88e4-11f0-b3c0-9d9a300a2491,71.65643,NA,NA,6.40463,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:35:51,2025-09-03T16:35:51Z,2025-09-03T16:35:51Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,7a118ad0-ebd9-44be-bff7-953183c773bd,55.93876,-109.35523,10.87422,5.922,-1.68439,-16.99056,2.391,-4.55207,-2.62399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,323.001891,-62.407072,940.438632,0.463187,4:45:00,0.874123,-0.266854,0.40583,20.239883,-45.133475,65.426078,122.72808,-21.887482,0.780607,-0.372785,-0.501681,36.614994,-51.316185,0.372785,-0.780607,0.501681,-36.614994,51.316185,-0.372785,0.780607,0.501681,-122.72808,21.887482,-0.780607,0.372785,-0.501681
10,2025-09-03,11:36:06,3,1,"Tovar, Jesus",821349,Left,TEX_BOB,"Tovar, Jesus",821349,Right,TEX_BOB,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.32126,0.818058,1.741649,2014.665749,302.10871,4:00:00,5.89108,-2.46358,5.0827,-54.67637,-5.63851,11.79674,2.10626,0.16175,70.10783,-9.088314,3.828942,0.504008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2565,-2.51894,2.28893,50,5.92576,-3.8888,-111.97935,-0.34149,-6.54901,23.76448,-35.31237,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250903-TexasStateUniversity-Private-2,17211350-88e4-11f0-b3c0-9d9a300a2491,74.78545,NA,NA,7.21343,NA,NA,NA,NA,NA,NA,f59475ce-8e80-40be-9121-5d6cd58cf45c,2025-09-03,16:36:06,2025-09-03T16:36:06Z,2025-09-03T16:36:06Z,NA,v3,471452,471452,NA,"Collier, Ian",822899,Right,TEX_BOB,79c0ca5d-ed39-43f0-918e-0534675feb8b,55.41779,-113.12328,11.88224,5.90129,1.35831,-17.65618,2.46853,-3.57355,-3.2745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,324.44803,-65.171429,845.967621,0.419905,4:45:00,0.893189,-0.257083,0.368947,-116.061511,11.167137,12.199251,130.445784,-15.920908,0.731828,-0.27431,-0.623844,23.735555,-47.039896,0.27431,-0.731828,0.623844,-23.735555,47.039896,-0.27431,0.731828,0.623844,-130.445784,15.920908,-0.731828,0.27431,-0.623844
