scope,pitch_type,metric,value,sample_n
overall,,heater_velocity,87.76815851485149,101
overall,,heater_velocity,85.14051388888889,180
overall,,heater_velocity,91.93698554655872,247
overall,,heater_velocity,90.30871462068966,290
overall,,heater_velocity,89.07903575757577,33
overall,,heater_velocity,92.07532588050314,318
overall,,heater_velocity,85.9127076433121,314
overall,,heater_velocity,92.93959672473868,287
overall,,heater_velocity,87.2307861414791,311
overall,,heater_velocity,86.85402733333333,30
overall,,heater_velocity,92.6875599704142,676
overall,,heater_velocity,90.25193944078947,304
overall,,heater_velocity,90.0324404029304,273
overall,,heater_velocity,90.52236413385826,508
overall,,heater_velocity,80.2420215111111,225
overall,,heater_velocity,89.99427559829059,234
overall,,heater_velocity,85.62155050420168,119
overall,,heater_velocity,84.99854387755101,49
overall,,heater_velocity,88.45161696470588,425
overall,,heater_velocity,89.71543195652175,184
overall,,heater_velocity,88.58366232827832,1121
overall,,heater_velocity,91.42560493975904,166
overall,,heater_velocity,91.29031344827585,203
overall,,heater_velocity,93.99313348623853,436
overall,,heater_velocity,95.46378128834355,163
overall,,heater_velocity,89.18314987951807,83
overall,,heater_velocity,89.13981281609195,522
overall,,heater_velocity,85.829188125,32
overall,,heater_velocity,89.55882416216217,370
overall,,heater_velocity,91.38154206967214,488
overall,,heater_velocity,85.43499170616114,211
overall,,heater_velocity,89.33444547619048,84
overall,,heater_velocity,82.7214193162393,234
overall,,heater_velocity,91.24095494311,791
overall,,heater_velocity,89.05409647727272,88
overall,,heater_velocity,87.22815953744494,454
overall,,heater_velocity,87.15325458041958,286
overall,,heater_velocity,89.74638882352941,221
overall,,heater_velocity,88.90725407407407,135
overall,,heater_velocity,93.05450575835475,389
overall,,heater_velocity,89.98610451219513,82
overall,,heater_velocity,86.89794978571429,140
overall,,heater_velocity,89.88455239215686,255
overall,,heater_velocity,86.25200956521739,115
overall,,heater_velocity,86.63216782608696,92
overall,,heater_velocity,89.3677,41
overall,,heater_velocity,90.32799389937108,159
overall,,heater_velocity,89.6715533255814,430
overall,,heater_velocity,89.69118606896552,145
overall,,heater_velocity,90.44852774647887,142
overall,,heater_velocity,89.41148264108352,443
overall,,heater_velocity,91.62934530054645,183
overall,,heater_velocity,86.11178882943143,299
overall,,heater_velocity,85.24033727272727,44
overall,,heater_velocity,87.04791908571428,175
overall,,heater_velocity,78.10401178571429,28
overall,,heater_velocity,90.72511913636363,220
overall,,heater_velocity,91.18405072463769,345
overall,,heater_velocity,90.818175,36
overall,,heater_velocity,91.51624969273743,716
overall,,heater_velocity,95.03192562025316,395
overall,,heater_velocity,92.04132249999999,164
overall,,heater_velocity,92.3244266992665,409
overall,,heater_velocity,90.30828154103853,597
overall,,heater_velocity,91.19520896396396,444
overall,,heater_velocity,90.64791534700315,634
overall,,heater_velocity,90.13753519174041,339
overall,,heater_velocity,90.41785354466859,347
overall,,heater_velocity,87.45901782051283,78
overall,,heater_velocity,88.30733296416938,307
overall,,heater_velocity,92.12873814814814,27
overall,,heater_velocity,86.35110077777777,90
overall,,heater_velocity,92.98475186893205,412
overall,,heater_velocity,89.04044695970697,273
overall,,heater_velocity,87.18210519607844,102
overall,,heater_velocity,86.90730166666667,36
overall,,heater_velocity,85.17244245283018,106
overall,,heater_velocity,80.66581322580645,31
overall,,heater_velocity,88.42585817204302,186
overall,,heater_velocity,87.24057488151658,211
overall,,heater_velocity,92.2974501754386,285
overall,,heater_velocity,89.55305611764706,170
overall,,heater_velocity,85.76110223529412,85
overall,,heater_velocity,90.47478668292682,205
overall,,heater_velocity,93.71459742209633,706
overall,,heater_velocity,88.27085773722628,137
overall,,heater_velocity,84.86095305687203,422
overall,,heater_velocity,84.36449999999999,26
overall,,heater_velocity,93.21538164383563,438
overall,,heater_velocity,88.01390430107527,93
overall,,heater_velocity,89.84007765306123,98
overall,,heater_velocity,88.11588160000001,175
overall,,heater_velocity,84.48959392857144,28
overall,,heater_velocity,86.70887832460733,191
overall,,heater_velocity,87.01764523076922,130
overall,,heater_velocity,89.63972338095238,210
overall,,heater_velocity,89.07803097222222,144
overall,,heater_velocity,91.01133697802199,182
overall,,heater_velocity,88.00705842424243,165
overall,,heater_velocity,91.74726291666666,528
overall,,heater_velocity,91.3612719218241,307
