Name,Pos,Number,Bats,Throws,pos_type
Justin Vossos,INF,1,R,R,Infielder
Chase Mora,INF/RHP,2,R,R,Infielder
Alec Beversdorf,RHP,4,R,R,Pitcher
Will Canalichio,LHP,6,L,L,Pitcher
Rashawn Galloway,OF/C,7,R,R,Outfielder
Samson Pugh,OF,8,R,R,Outfielder
Bennett Fryman,OF/LHP,9,L,L,Outfielder
Alex Yearwood,RHP,10,R,R,Pitcher
Zachary Gingrich,OF,11,L,R,Outfielder
Alizaeh Gutierrez,LHP,12,L,L,Pitcher
Jesus Tovar,LHP,13,L,L,Pitcher
Keller Eberly,RHP,14,R,R,Pitcher
Cameron O'Banan,RHP,15,R,R,Pitcher
Cade Smith,RHP,16,R,R,Pitcher
Braylen Timmins,LHP,17,L,L,Pitcher
Dylan Kerbow,RHP,18,L,R,Pitcher
Kade Thompson,C,20,R,R,Catcher
Brady Boles,INF,21,R,R,Infielder
Ethan Farris,INF/OF,22,R,R,Infielder
Ryan Markwardt,LHP,23,L,L,Pitcher
Jaquae Stewart,INF/OF,24,L,L,Infielder
Blake Beheler,INF,25,R,R,Infielder
Nolan Moore,LHP,26,L,L,Pitcher
Coy DeFury,INF,27,L,R,Infielder
Luke Saunders,RHP,28,R,R,Pitcher
Tanner Carson,INF/RHP,29,R,R,Infielder
Shane Connell,RHP,31,R,R,Pitcher
Clayton Namken,C,32,R,R,Catcher
Manny Salas,INF,33,L,R,Infielder
Josh Glaser,RHP,34,R,R,Pitcher
Colby Diaz,RHP,35,R,R,Pitcher
Sam Hall,RHP,36,R,R,Pitcher
Ty Powell,INF,38,L,R,Infielder
Wade Cooper,RHP,40,R,R,Pitcher
Titan Targac,LHP,41,L,L,Pitcher
Austin Munguia,C,42,R,R,Catcher
Kyle Froehlich,RHP,43,R,R,Pitcher
Jackson Cotton,OF,44,L,L,Outfielder
Victor Coronado,INF,45,R,R,Infielder
Tyler Walton,RHP,46,R,R,Pitcher
