Name,Pos,Number,Bats,Throws,pos_type
Jaxon McKnight,C,1,R,R,Catcher
Cayden Byrd,OF,2,L,L,Outfielder
Brady Boles,INF,3,R,R,Infielder
Alec Beversdorf,RHP,4,R,R,Pitcher
Clayton Namken,C,5,R,R,Catcher
Will Canalichio,LHP,6,L,L,Pitcher
Bennett Fryman,OF/LHP,7,L,L,Outfielder
Daylen Foor,INF,8,R,R,Infielder
Easton Webb,RHP,9,R,R,Pitcher
Titan Targac,LHP,10,L,L,Pitcher
Rylan Alaniz,INF,11,R,R,Infielder
Ryley Leininger,INF,12,L,R,Infielder
Jesus Tovar,LHP,13,L,L,Pitcher
Luke Wheatley,INF,14,R,R,Infielder
Cole Wisenbaker,LHP,15,L,L,Pitcher
Cade Smith,RHP,16,R,R,Pitcher
Logan Schultz,RHP,17,R,R,Pitcher
Jayden Stewart,RHP,18,R,R,Pitcher
Luke Hayhow,RHP,19,R,R,Pitcher
Jacob Gillis,INF,20,R,R,Infielder
Tanner Carson,INF/RHP,21,R,R,Infielder
Ethan Farris,INF/OF,22,R,R,Infielder
Drayton Mitchell,OF,23,L,L,Outfielder
Jaquae Stewart,INF/OF,24,L,L,Infielder
Tyler Walton,RHP,25,R,R,Pitcher
Nolan Moore,LHP,26,L,L,Pitcher
Trevyn Turner,RHP,27,R,R,Pitcher
James Janak,RHP,28,R,R,Pitcher
Kortland Stovall,LHP,29,L,L,Pitcher
Justin Antcil,C,31,R,R,Catcher
Jonathan Anders,LHP,32,L,L,Pitcher
Collier Carroll,LHP,34,L,L,Pitcher
Chris Langley,RHP,35,R,R,Pitcher
Sam Hall,RHP,36,R,R,Pitcher
Finn Mignerey,LHP,38,L,L,Pitcher
Jacob Gholston,RHP,40,R,R,Pitcher
Jackson Cotton,OF,44,L,L,Outfielder
Miles Williams,RHP,45,R,R,Pitcher
