# Canonical display names for TrackMan team identifiers.
# Keep trackman_team_id unchanged in data; use team_name anywhere the code is shown to a user.
trackman_team_id	team_name
ABI_WIL	Abilene Christian Wildcats
AIR_FOR	Air Force Falcons
AKR_ZIP	Akron Zips
ALA_ANM	Alabama A&M Bulldogs
ALA_CRI	Alabama Crimson Tide
ALA_HOR	Alabama State Hornets
ALA_LIO	North Alabama Lions
ALB_GRE	Albany Great Danes
ALC_BRA	Alcorn State Braves
APP_MOU	Appalachian State Mountaineers
ARI_SUN	Arizona State Sun Devils
ARI_WIL	Arizona Wildcats
ARK_LIO	Arkansas-Pine Bluff Golden Lions
ARK_RAZ	Arkansas Razorbacks
ARL_MAV	UT Arlington Mavericks
ARM_BLA	Army Black Knights
ASU_RED	Arkansas State Red Wolves
AUB_TIG	Auburn Tigers
AUS_GOV	Austin Peay Governors
BAL_CAR	Ball State Cardinals
BAY_BEA	Baylor Bears
BEL_BRU	Belmont Bruins
BEL_KNI	Bellarmine Knights
BET_WIL	Bethune-Cookman Wildcats
BGS_FAL	Bowling Green Falcons
BIN_BEA	Binghamton Bearcats
BOC_EAG	Boston College Eagles
BOU_BRA	Bourne Braves
BRA_BRA	Bradley Braves
BRE_WHI	Brewster Whitecaps
BRO_BEA	Brown Bears
BRY_BUL	Bryant Bulldogs
BUC_BIS	Bucknell Bison
BUT_BUL	Butler Bulldogs
BYU_COU	BYU Cougars
CAL_AGO	UC Davis Aggies
CAL_ANT	UC Irvine Anteaters
CAL_BEA	California Golden Bears
CAL_FUL	Cal State Fullerton Titans
CAL_HIG	UC Riverside Highlanders
CAL_LAN	California Baptist Lancers
CAL_MAT	Cal State Northridge Matadors
CAL_MUS	Cal Poly Mustangs
CAM_CAM	Campbell Fighting Camels
CAN_GRI	Canisius Golden Griffins
CCU_BLD	Central Connecticut Blue Devils
CEN_BEA	Central Arkansas Bears
CEN_MIC	Central Michigan Chippewas
CHA_ANG	Chatham Anglers
CHA_BUC	Charleston Southern Buccaneers
CHA_FOR	Charlotte 49ers
CIN_BEA	Cincinnati Bearcats
CIT_BUL	The Citadel Bulldogs
CLE_TIG	Clemson Tigers
COA_CHA	Coastal Carolina Chanticleers
COL_CHA	College of Charleston Cougars
COL_LION	Columbia Lions
COP_STA	Coppin State Eagles
COR_BRE	Cornell Big Red
COT_KET	Cotuit Kettleers
CRE_BLU	Creighton Bluejays
CSD_TRI	UC San Diego Tritons
CSU_BAK	CSU Bakersfield Roadrunners
DAL_PAT	Dallas Baptist Patriots
DAR_GRE	Dartmouth Big Green
DAV_WIL	Davidson Wildcats
DAY_FLY	Dayton Flyers
DEL_BLU	Delaware Blue Hens
DEL_HOR	Delaware State Hornets
DIX_STE	Utah Tech Trailblazers
DUK_BLU	Duke Blue Devils
ECU_PIR	East Carolina Pirates
EIU_PAN	Eastern Illinois Panthers
EKU_COL	Eastern Kentucky Colonels
ELO_PHO	Elon Phoenix
EMU_EAG	Eastern Michigan Eagles
ETS_BUC	East Tennessee State Buccaneers
EVA_ACE	Evansville Purple Aces
FAI_STA	Fairfield Stags
FAL_COM	Falmouth Commodores
FAU_OWL	Florida Atlantic Owls
FDU_KNI	Fairleigh Dickinson Knights
FGCU	Florida Gulf Coast Eagles
FLA_GAT	Florida Gators
FLO_PAN	FIU Panthers
FLO_RAT	Florida A&M Rattlers
FLO_SEM	Florida State Seminoles
FOR_RAM	Fordham Rams
FRE_BUL	Fresno State Bulldogs
GAR_RUN	Gardner-Webb Runnin' Bulldogs
GEO_BUL	Georgia Bulldogs
GEO_COL	George Washington Colonials
GEO_EAG	Georgia Southern Eagles
GEO_HOY	Georgetown Hoyas
GEO_PAN	Georgia State Panthers
GEO_PAT	George Mason Patriots
GIT_YEL	Georgia Tech Yellow Jackets
GON_BUL	Gonzaga Bulldogs
GRA_CAN	Grand Canyon Antelopes
GRA_TIG	Grambling State Tigers
HAR_CRI	Harvard Crimson
HAR_MAR	Harwich Mariners
HAW_WAR	Hawaii Rainbow Warriors
HBU_HUS	Houston Christian Huskies
HIG_PAN	High Point Panthers
HOF_PRI	Hofstra Pride
HOL_CRU	Holy Cross Crusaders
HOU_COU	Houston Cougars
HYA_HAR	Hyannis Harbor Hawks
ILL_ILL	Illinois Fighting Illini
ILL_RED	Illinois State Redbirds
IND_SYC	Indiana State Sycamores
ION_GAE	Iona Gaels
IOW_HAW	Iowa Hawkeyes
IU	Indiana Hoosiers
IWC	Incarnate Word Cardinals
JAC_GAM	Jacksonville State Gamecocks
JAC_TIG	Jackson State Tigers
JMU_DUK	James Madison Dukes
JUD	Jacksonville Dolphins
KAN_JAY	Kansas Jayhawks
KAN_WIL	Kansas State Wildcats
KEN_OWL	Kennesaw State Owls
KEN_WIL	Kentucky Wildcats
KS_GF	Kent State Golden Flashes
LAF_LEP	Lafayette Leopards
LAM_CAR	Lamar Cardinals
LEH_MOU	Lehigh Mountain Hawks
LIB_FLA	Liberty Flames
LIN_UNI	Lindenwood Lions
LIP_BIS	Lipscomb Bisons
LIT_TRO	Little Rock Trojans
LON_DIR	Long Beach State Beach
LON_ISL22	LIU Sharks
LON_LAN	Longwood Lancers
