hand,arm_angle_min,arm_angle_max,pitch_type,HB,IVB,sample_n,pitcher_n,source_file
LHP,-40,-35,Sinker,13.10654000,-0.35394000,1,1,D1 Pitching:Hitting File.parquet
LHP,-30,-25,Sinker,-11.83936701,0.87276855,394,2,D1 Pitching:Hitting File.parquet
LHP,-25,-20,Fastball,-13.21626824,13.31888613,119,3,D1 Pitching:Hitting File.parquet
LHP,-25,-20,Sinker,-17.47297964,2.42306767,664,3,D1 Pitching:Hitting File.parquet
LHP,-20,-15,Fastball,-14.23401730,14.22051703,111,2,D1 Pitching:Hitting File.parquet
LHP,-20,-15,Sinker,-16.66539863,2.73596402,358,5,D1 Pitching:Hitting File.parquet
LHP,-15,-10,Fastball,-12.98130580,13.85849843,345,14,D1 Pitching:Hitting File.parquet
LHP,-15,-10,Sinker,-18.13285636,6.82678668,883,16,D1 Pitching:Hitting File.parquet
LHP,-10,-5,Fastball,-13.69406363,15.30245623,2014,25,D1 Pitching:Hitting File.parquet
LHP,-10,-5,Sinker,-16.84433470,6.29018456,2458,25,D1 Pitching:Hitting File.parquet
LHP,-5,0,Fastball,-13.45655420,14.46244307,4017,59,D1 Pitching:Hitting File.parquet
LHP,-5,0,Sinker,-17.24615656,6.79824474,6774,58,D1 Pitching:Hitting File.parquet
LHP,0,5,Fastball,-12.64964831,15.24651377,10308,110,D1 Pitching:Hitting File.parquet
LHP,0,5,Sinker,-16.78666848,7.76215981,7004,92,D1 Pitching:Hitting File.parquet
LHP,5,10,Fastball,-12.36354039,15.53327231,12920,120,D1 Pitching:Hitting File.parquet
LHP,5,10,Sinker,-16.42153945,6.90652429,9325,98,D1 Pitching:Hitting File.parquet
LHP,10,15,Fastball,-11.55600205,16.10109085,23034,164,D1 Pitching:Hitting File.parquet
LHP,10,15,Sinker,-16.93340338,7.73110023,10596,136,D1 Pitching:Hitting File.parquet
LHP,15,20,Fastball,-10.33822726,16.47472469,27992,195,D1 Pitching:Hitting File.parquet
LHP,15,20,Sinker,-16.03966831,8.34945943,5871,121,D1 Pitching:Hitting File.parquet
LHP,20,25,Fastball,-10.52845848,16.85479925,27510,176,D1 Pitching:Hitting File.parquet
LHP,20,25,Sinker,-16.19461294,8.22333355,5532,112,D1 Pitching:Hitting File.parquet
LHP,25,30,Fastball,-9.66983524,17.21850053,23605,158,D1 Pitching:Hitting File.parquet
LHP,25,30,Sinker,-15.04070968,8.65050391,3103,100,D1 Pitching:Hitting File.parquet
LHP,30,35,Fastball,-9.51568846,17.76619890,21185,128,D1 Pitching:Hitting File.parquet
LHP,30,35,Sinker,-16.59586162,7.78675828,1784,69,D1 Pitching:Hitting File.parquet
LHP,35,40,Fastball,-8.84914672,17.49701798,17207,95,D1 Pitching:Hitting File.parquet
LHP,35,40,Sinker,-15.90504521,8.13484242,1933,51,D1 Pitching:Hitting File.parquet
LHP,40,45,Fastball,-8.49123852,18.25312028,15173,80,D1 Pitching:Hitting File.parquet
LHP,40,45,Sinker,-16.84170442,7.78177452,1232,31,D1 Pitching:Hitting File.parquet
LHP,45,50,Fastball,-7.69098777,18.01940140,7095,46,D1 Pitching:Hitting File.parquet
LHP,45,50,Sinker,-15.59670768,8.93027718,298,25,D1 Pitching:Hitting File.parquet
LHP,50,55,Fastball,-8.69606139,18.09244007,5747,46,D1 Pitching:Hitting File.parquet
LHP,50,55,Sinker,-16.85816842,7.80785927,519,17,D1 Pitching:Hitting File.parquet
LHP,55,60,Fastball,-9.01323563,19.23395590,5341,20,D1 Pitching:Hitting File.parquet
LHP,55,60,Sinker,-16.89481730,5.99061910,89,6,D1 Pitching:Hitting File.parquet
LHP,60,65,Fastball,-7.09551506,18.51181787,1319,16,D1 Pitching:Hitting File.parquet
LHP,60,65,Sinker,-16.27541547,9.07592094,53,4,D1 Pitching:Hitting File.parquet
LHP,65,70,Fastball,-6.69045473,18.82366227,2257,16,D1 Pitching:Hitting File.parquet
LHP,65,70,Sinker,-18.30718111,6.65043926,27,4,D1 Pitching:Hitting File.parquet
LHP,70,75,Fastball,-10.24827587,18.22310204,1189,8,D1 Pitching:Hitting File.parquet
LHP,70,75,Sinker,-16.62451765,9.10611118,17,4,D1 Pitching:Hitting File.parquet
LHP,75,80,Fastball,-6.91634229,18.70848604,3646,19,D1 Pitching:Hitting File.parquet
LHP,75,80,Sinker,-15.83499753,8.53665294,85,6,D1 Pitching:Hitting File.parquet
LHP,80,85,Fastball,-3.52272721,20.34178917,1799,6,D1 Pitching:Hitting File.parquet
LHP,80,85,Sinker,-16.47449562,8.65382562,16,2,D1 Pitching:Hitting File.parquet
RHP,-65,-60,Sinker,15.79485493,-10.20588147,150,1,D1 Pitching:Hitting File.parquet
RHP,-50,-45,Fastball,-11.98700500,13.43730000,4,3,D1 Pitching:Hitting File.parquet
RHP,-50,-45,Sinker,13.80699947,-4.17854832,754,4,D1 Pitching:Hitting File.parquet
RHP,-45,-40,Fastball,4.96498154,15.69407923,13,1,D1 Pitching:Hitting File.parquet
RHP,-45,-40,Sinker,13.34464267,-7.90105511,45,2,D1 Pitching:Hitting File.parquet
RHP,-40,-35,Fastball,-3.97254825,14.92145250,160,5,D1 Pitching:Hitting File.parquet
RHP,-40,-35,Sinker,17.35643803,-1.94846504,1265,7,D1 Pitching:Hitting File.parquet
RHP,-35,-30,Fastball,-8.56659933,13.45519567,30,3,D1 Pitching:Hitting File.parquet
RHP,-35,-30,Sinker,16.02276432,-2.11113802,696,5,D1 Pitching:Hitting File.parquet
RHP,-30,-25,Fastball,2.74414582,14.29672989,261,17,D1 Pitching:Hitting File.parquet
