PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dConfidence,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2026-06-13,18:04:53,1,1,"Sweum, Karsten",827429,Left,HYA_HAR,"Magpoc, Adam",822330,Right,BRE_WHI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.16904,-2.313599,1.727919,2348.379154,156.448906,11:15,6.38769,-1.06243,5.44166,-13.56481,19.43997,-7.88422,3.08882,-0.10104,83.64822,-4.950836,0.325374,0.413485,,,,,,,,,,,,4.55146,10.9476,0.91513,50,6.17424,-3.71792,-136.10242,-5.88691,8.29606,37.73466,-12.21954,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,e8083cf0-6773-11f1-adad-bdfaa9ccbfbc,91.15791,,,10.52083,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:04:53,2026-06-13T18:04:53.1623424-04:00,2026-06-13T22:04:53.1623424Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,db3d744c-096b-4a84-9e9f-448a8e89caa4,55.05068,-137.49559,18.86733,6.38325,-5.43575,-6.10977,1.05805,-4.02422,4.14803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,154.998143,-6.487211,2333.342716,0.993597,11:15,0.123046,0.42416,-0.897189,,18.912249,-19.462817,56.045888,-0.192259,174.294225,-0.976482,-5.598986,0.976482,-0.097565,0.192259,11.138441,-11.084626,0.097565,-0.097565,-174.294225,11.084626,0.192259,5.598986,-11.138441,-0.192259,0.097565,0.976482,-0.976482
2,2026-06-13,18:05:13,1,2,"Sweum, Karsten",827429,Left,HYA_HAR,"Magpoc, Adam",822330,Right,BRE_WHI,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.22447,-4.621969,1.091425,2443.160879,144.08395,10:45,6.3439,-1.23198,5.51837,-16.22174,16.40611,-10.99091,0.66036,-1.12728,84.9299,-7.682386,-0.868718,0.411117,,,,,,,,,,,,5.97855,10.19871,1.1448,50,5.93026,-2.09101,-136.16043,-11.54628,11.01973,34.96561,-13.37572,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,f3cf11d0-6773-11f1-adad-bdfaa9ccbfbc,91.68299,,,9.29457,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:05:13,2026-06-13T18:05:12.9213952-04:00,2026-06-13T22:05:12.9213952Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,04f35ddf-dd82-4509-90a4-ac7abbc8c4f8,54.97995,-137.43332,17.48281,6.34173,-11.05935,-6.68786,1.22822,-2.49218,5.50987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,156.295017,-8.515498,2416.227095,0.988976,11:15,0.132784,0.408235,-0.903168,,21.610907,-2.138602,56.082898,-0.228994,157.075041,-0.896543,-22.282572,0.896543,-0.379175,0.228994,14.328064,-13.237825,0.379175,-0.379175,-157.075041,13.237825,0.228994,22.282572,-14.328064,-0.228994,0.379175,0.896543,-0.896543
3,2026-06-13,18:05:31,1,3,"Sweum, Karsten",827429,Left,HYA_HAR,"Magpoc, Adam",822330,Right,BRE_WHI,Undefined,1,Top,0,1,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.94612,-1.435156,1.749569,2633.055012,291.817015,3:45,6.47961,-1.15558,5.22363,-40.93164,-0.99575,6.45229,1.71848,1.02746,77.006,-8.901627,2.895105,0.454834,86.11361,0.466571,-52.669997,5030.176771,,,,32.5216,31.53878,-50.856642,0.252788,-2.59906,0.42976,0.9891,50,6.31672,-4.08125,-124.2989,-4.65998,-3.94247,31.97538,-31.52212,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,fec661b0-6773-11f1-adad-bdfaa9ccbfbc,82.87076,1.7713,,8.94012,,,,2.37762,1.76367,-1.07354,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:05:31,2026-06-13T18:05:31.2759808-04:00,2026-06-13T22:05:31.2759808Z,GroundBall,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,0a8130fc-4cca-4048-9c0c-beee224d4e4e,55.2729,-125.64802,15.98769,6.48528,-3.32999,-15.76106,1.15779,-3.91491,-1.97124,,2.38044,76.43778,-18.40347,,,,,,,1.77007,0.68963,-30.52341,,,,,,,-1.07558,-100.31765,18.99645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,187.282206,-70.68418,870.948724,0.330775,12:15,0.954041,-0.018279,-0.299119,,35.383832,3.124946,-31.378489,0.244958,120.08081,-0.485951,57.030069,0.485951,-0.838956,-0.244958,26.751751,14.179345,0.838956,0.838956,-120.08081,-14.179345,0.244958,-57.030069,-26.751751,-0.244958,-0.838956,0.485951,-0.485951
4,2026-06-13,18:06:27,1,4,"Sweum, Karsten",827429,Left,HYA_HAR,"Magpoc, Adam",822330,Right,BRE_WHI,Undefined,1,Top,0,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.23418,-1.814253,1.093248,2157.283592,170.149074,11:45,6.43166,-1.20054,5.67382,-13.19072,18.74655,-3.06685,3.64016,-0.43676,85.4905,-4.350789,0.545167,0.406743,,,,,,,,,,,,1.87193,10.35221,1.11023,50,6.2704,-2.46438,-136.66557,-4.71086,3.51731,31.9474,-12.72228,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,1fe5fef0-6774-11f1-adad-bdfaa9ccbfbc,92.66891,,,8.74368,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:06:27,2026-06-13T18:06:26.8884992-04:00,2026-06-13T22:06:26.8884992Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,46845d59-2445-441c-a18a-5ab2b5e6d3a5,54.82221,-137.78821,15.9737,6.42809,-4.2638,-6.36114,1.19901,-2.58798,1.75865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,160.763778,-16.581716,2067.570134,0.958414,11:15,0.292458,0.324639,-0.899488,,27.87984,-9.03071,39.993527,-0.393607,161.904644,-0.873812,-16.590379,0.873812,-0.285527,0.393607,24.249086,-23.179119,0.285527,-0.285527,-161.904644,23.179119,0.393607,16.590379,-24.249086,-0.393607,0.285527,0.873812,-0.873812
5,2026-06-13,18:06:48,1,5,"Sweum, Karsten",827429,Left,HYA_HAR,"Magpoc, Adam",822330,Right,BRE_WHI,Undefined,1,Top,0,2,2,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.9775,-1.002487,0.846721,2630.141846,278.999733,3:15,6.22252,-1.17633,5.00494,-42.37506,-0.2165,11.9991,1.74475,0.62292,75.18369,-8.715262,2.969183,0.46732,,,,,,,,,,,,-5.63217,0.73193,1.08478,50,6.09235,-2.33218,-121.44506,-3.73749,-8.15616,30.50878,-31.11414,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,2c5596f0-6774-11f1-adad-bdfaa9ccbfbc,80.65661,,,8.79382,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:06:48,2026-06-13T18:06:47.6686848-04:00,2026-06-13T22:06:47.6686848Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,a5c44361-61c6-4a9e-97e7-0aa772e7d8fb,55.49058,-122.81663,15.25439,6.22894,-2.33871,-15.55707,1.18138,-1.96551,-4.07808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,272.380616,-83.208994,311.009264,0.118248,3:00,0.994718,-0.100755,0.019613,,2.079569,1.308804,-73.075692,0.922722,90.78867,-0.005306,22.670414,0.005306,-0.38543,-0.922722,89.670548,67.327318,0.38543,0.38543,-90.78867,-67.327318,0.922722,-22.670414,-89.670548,-0.922722,-0.38543,0.005306,-0.005306
6,2026-06-13,18:07:24,2,1,"Sweum, Karsten",827429,Left,HYA_HAR,"Laskofski, Jamie",10009966,Left,BRE_WHI,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.93265,-2.141155,1.143327,2355.60251,158.347999,11:15,6.38703,-1.40117,5.50094,-12.87953,20.41777,-7.62473,3.30978,-0.96707,83.73861,-4.634348,-0.214942,0.415313,,,,,,,,,,,,4.18902,11.30245,1.3065,50,6.19161,-2.32641,-134.61571,-5.39359,7.58179,32.94524,-11.71746,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,420c84e0-6774-11f1-adad-bdfaa9ccbfbc,90.75664,,,9.19404,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:07:24,2026-06-13T18:07:24.1560000-04:00,2026-06-13T22:07:24.1560000Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,6f498b71-041d-474f-a63f-cd410e8950ad,54.99446,-135.83253,16.47262,6.38283,-4.9608,-5.85873,1.39759,-2.60644,3.79089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,157.579594,-13.61624,2289.396685,0.971894,11:15,0.239287,0.379217,-0.893832,,26.194934,-10.348842,33.035675,-0.252202,165.629217,-0.937396,-13.896745,0.937396,-0.240173,0.252202,15.05859,-14.607862,0.240173,-0.240173,-165.629217,14.607862,0.252202,13.896745,-15.05859,-0.252202,0.240173,0.937396,-0.937396
7,2026-06-13,18:07:44,2,2,"Sweum, Karsten",827429,Left,HYA_HAR,"Laskofski, Jamie",10009966,Left,BRE_WHI,Undefined,1,Top,0,0,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.8503,-0.725931,0.905397,2605.244163,244.537017,2:15,6.49369,-1.24597,4.81351,-33.54116,5.80945,9.08804,3.0108,0.36912,78.08483,-6.850005,2.505354,0.451489,,,,,,,,,,,,-4.14028,3.54091,1.14776,50,6.39321,-2.41845,-125.64891,-2.91269,-6.48462,30.27613,-26.62821,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,4e0e66f0-6774-11f1-adad-bdfaa9ccbfbc,83.48473,,,8.76547,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:07:44,2026-06-13T18:07:44.2711040-04:00,2026-06-13T22:07:44.2711040Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,1a294249-6395-458b-b9eb-73a436c9ba95,55.68104,-127.01042,15.13806,6.49727,-1.71522,-13.3141,1.24996,-2.12684,-3.24231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,198.008048,-74.417664,699.828166,0.268623,12:30,0.968137,-0.070834,-0.240196,,12.295957,-5.750389,-31.059198,0.359519,116.173539,-0.411599,56.872446,0.411599,-0.837456,-0.359519,41.136165,21.070633,0.837456,0.837456,-116.173539,-21.070633,0.359519,-56.872446,-41.136165,-0.359519,-0.837456,0.411599,-0.411599
8,2026-06-13,18:08:03,2,3,"Sweum, Karsten",827429,Left,HYA_HAR,"Laskofski, Jamie",10009966,Left,BRE_WHI,Undefined,1,Top,0,0,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.23853,-2.370794,2.677206,2629.677661,290.707182,3:45,6.16306,-1.59527,5.33707,-44.27207,-2.87721,11.01335,0.24583,1.836,76.89682,-10.339295,4.635512,0.463068,,,,,,,,,,,,-4.79536,-0.41508,1.34529,50,5.9168,-6.09356,-120.64244,-6.6087,-7.0413,24.2807,-32.78355,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,591ce850-6774-11f1-adad-bdfaa9ccbfbc,81.39725,,,6.34171,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:08:03,2026-06-13T18:08:02.8337664-04:00,2026-06-13T22:08:02.8337664Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,4c287aed-ac99-4651-bb3b-53aa452bc75e,55.16369,-121.67725,12.14035,6.16868,-5.21151,-16.39178,1.5986,-5.79347,-3.52065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,294.071012,-78.142138,540.357966,0.205484,3:45,0.980593,-0.146971,0.129755,,20.871772,8.451938,-78.126392,0.932193,116.926694,-0.163914,18.827497,0.163914,-0.32272,-0.932193,80.027215,68.779297,0.32272,0.32272,-116.926694,-68.779297,0.932193,-18.827497,-80.027215,-0.932193,-0.32272,0.163914,-0.163914
9,2026-06-13,18:08:23,2,4,"Sweum, Karsten",827429,Left,HYA_HAR,"Laskofski, Jamie",10009966,Left,BRE_WHI,Undefined,1,Top,0,1,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.92382,-2.052236,1.048351,2374.849822,178.77996,12:00,6.4408,-1.3624,5.61567,-12.51036,19.70056,-0.3963,3.48178,-0.41689,85.26215,-4.464009,0.977606,0.408482,73.96583,55.916547,-158.602372,4335.366804,,,,,29.01648,,,0.51386,10.93871,1.27316,50,6.25787,-2.47477,-136.22625,-5.24523,0.95906,31.8141,-11.75752,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,65545950-6774-11f1-adad-bdfaa9ccbfbc,92.27438,41.95618,,8.66168,,,,2.42155,3.46114,0.47201,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:08:23,2026-06-13T18:08:23.3738752-04:00,2026-06-13T22:08:23.3738752Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,64cb0a55-3502-4871-853d-38afd910d932,54.88245,-137.36176,15.90705,6.4376,-4.82558,-5.87876,1.3621,-2.509,0.47953,18.759057,2.42155,-56.60341,-1.02872,2.62944,-0.95222,0.28725,-0.07599,0.0187,-0.00284,3.46114,89.84806,-34.36057,5.28395,-1.11168,0.21047,-0.04272,0.01077,-0.00249,0.47201,-22.17993,6.35594,-1.52075,0.33792,-0.067,0.01207,-9.00E-05,-0.00089,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,161.17124,-13.792115,2306.376004,0.971167,11:15,0.243802,0.321771,-0.91489,,30.163406,-3.21099,28.795477,-0.326829,160.415751,-0.89041,-18.468603,0.89041,-0.316785,0.326829,20.1559,-19.076433,0.316785,-0.316785,-160.415751,19.076433,0.326829,18.468603,-20.1559,-0.326829,0.316785,0.89041,-0.89041
10,2026-06-13,18:08:54,2,5,"Sweum, Karsten",827429,Left,HYA_HAR,"Laskofski, Jamie",10009966,Left,BRE_WHI,Undefined,1,Top,0,1,2,Undefined,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.95474,-0.406461,2.067116,2568.377671,279.062212,3:15,6.18978,-1.71761,5.14883,-41.374,-0.60402,11.60406,2.35903,1.19632,77.28539,-7.891926,4.121069,0.459559,,,,,,,,,,,,-5.21394,0.18882,1.51494,50,6.11986,-4.89703,-121.81297,-2.42123,-7.83257,23.97262,-31.89038,HYA_HAR,BRE_WHI,CCBLHyannis,Cape Cod Baseball League,CCBL,20260613-CCBLHyannis-1,777acd80-6774-11f1-adad-bdfaa9ccbfbc,82.01864,,,6.66935,,,,,,,660b2262-afb1-47aa-9c52-57ff46a98290,2026-06-13,22:08:54,2026-06-13T18:08:53.7800000-04:00,2026-06-13T22:08:53.7800000Z,,v3,,,,"Primrose, Blake",827699,Right,HYA_HAR,e63e9b30-7703-412a-840a-150396c2d7ea,55.35103,-122.86154,11.98631,6.19525,-1.02635,-15.94519,1.72164,-4.55443,-3.91629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.57628,,,1.452832,,,,-2.64698,5.88772,0.8611,75.84133,14.41939,48.95016,-2.49392,58.92069,-3.41642,6.03792,27.36083,-14.82978,0.93021,35.54126,-1.70116,High,High,High,,,High,High,High,269.843008,-79.672641,460.43822,0.179272,3:00,0.984423,-0.172288,0.03504,,9.048075,10.503629,-78.946929,0.937281,97.947181,-0.048194,20.195619,0.048194,-0.345226,-0.937281,87.056509,69.599871,0.345226,0.345226,-97.947181,-69.599871,0.937281,-20.195619,-87.056509,-0.937281,-0.345226,0.048194,-0.048194
