"TaggedPitchType","Percentile","Value","Stat"
"Changeup",1,74.91367388454,"AvgVelo"
"Changeup",2,75.1512665947712,"AvgVelo"
"Changeup",3,76.9586297288,"AvgVelo"
"Changeup",4,77.3744443024178,"AvgVelo"
"Changeup",5,77.4812308244728,"AvgVelo"
"Changeup",6,77.7382962866311,"AvgVelo"
"Changeup",7,78.1332720473928,"AvgVelo"
"Changeup",8,78.3444333172445,"AvgVelo"
"Changeup",9,78.3823423322994,"AvgVelo"
"Changeup",10,78.4838659706764,"AvgVelo"
"Changeup",11,78.7154678747657,"AvgVelo"
"Changeup",12,78.9689055763339,"AvgVelo"
"Changeup",13,79.0239862676462,"AvgVelo"
"Changeup",14,79.2011803156522,"AvgVelo"
"Changeup",15,79.5887999090838,"AvgVelo"
"Changeup",16,79.7058924289193,"AvgVelo"
"Changeup",17,79.7890110613168,"AvgVelo"
"Changeup",18,79.9800107686917,"AvgVelo"
"Changeup",19,80.0825499744841,"AvgVelo"
"Changeup",20,80.1350699400881,"AvgVelo"
"Changeup",21,80.1747407389583,"AvgVelo"
"Changeup",22,80.2192800536036,"AvgVelo"
"Changeup",23,80.3251568962248,"AvgVelo"
"Changeup",24,80.4209299640357,"AvgVelo"
"Changeup",25,80.4947240744231,"AvgVelo"
"Changeup",26,80.543164552676,"AvgVelo"
"Changeup",27,80.5652807141026,"AvgVelo"
"Changeup",28,80.6370452824709,"AvgVelo"
"Changeup",29,80.7538727829009,"AvgVelo"
"Changeup",30,80.7884796904039,"AvgVelo"
"Changeup",31,80.7938447526106,"AvgVelo"
"Changeup",32,80.8246561558081,"AvgVelo"
"Changeup",33,81.0628034772803,"AvgVelo"
"Changeup",34,81.1256857983416,"AvgVelo"
"Changeup",35,81.1382046509048,"AvgVelo"
"Changeup",36,81.1815630339146,"AvgVelo"
"Changeup",37,81.1936320863445,"AvgVelo"
"Changeup",38,81.2452260529412,"AvgVelo"
"Changeup",39,81.3744552460256,"AvgVelo"
"Changeup",40,81.4433303923077,"AvgVelo"
"Changeup",41,81.4886906984543,"AvgVelo"
"Changeup",42,81.5423712796193,"AvgVelo"
"Changeup",43,81.5783493764215,"AvgVelo"
"Changeup",44,81.6036503179061,"AvgVelo"
"Changeup",45,81.6671657974253,"AvgVelo"
"Changeup",46,81.7870641364385,"AvgVelo"
"Changeup",47,81.8350030447543,"AvgVelo"
"Changeup",48,81.9602445557408,"AvgVelo"
"Changeup",49,82.0847245182586,"AvgVelo"
"Changeup",50,82.0918530409357,"AvgVelo"
"Changeup",51,82.0950060923899,"AvgVelo"
"Changeup",52,82.1395081210381,"AvgVelo"
"Changeup",53,82.1688366640213,"AvgVelo"
"Changeup",54,82.2690687865042,"AvgVelo"
"Changeup",55,82.3546598433408,"AvgVelo"
"Changeup",56,82.4167930257902,"AvgVelo"
"Changeup",57,82.4785268439007,"AvgVelo"
"Changeup",58,82.5123545295775,"AvgVelo"
"Changeup",59,82.5298114646745,"AvgVelo"
"Changeup",60,82.5662873584435,"AvgVelo"
"Changeup",61,82.6352440749296,"AvgVelo"
"Changeup",62,82.7218061165846,"AvgVelo"
"Changeup",63,82.8824435897162,"AvgVelo"
"Changeup",64,83.3236210683587,"AvgVelo"
"Changeup",65,83.3377193530239,"AvgVelo"
"Changeup",66,83.4256549423703,"AvgVelo"
"Changeup",67,83.5569633397282,"AvgVelo"
"Changeup",68,83.6323947784524,"AvgVelo"
"Changeup",69,83.6876873672637,"AvgVelo"
"Changeup",70,83.7526563332158,"AvgVelo"
"Changeup",71,83.7758570292941,"AvgVelo"
"Changeup",72,84.1181094326958,"AvgVelo"
"Changeup",73,84.372541868737,"AvgVelo"
"Changeup",74,84.4527775379104,"AvgVelo"
"Changeup",75,84.4902790991735,"AvgVelo"
"Changeup",76,84.5138587746038,"AvgVelo"
"Changeup",77,84.5184752548711,"AvgVelo"
"Changeup",78,84.5251353477634,"AvgVelo"
"Changeup",79,84.558655521411,"AvgVelo"
"Changeup",80,84.6370877097289,"AvgVelo"
"Changeup",81,84.7400033996446,"AvgVelo"
"Changeup",82,84.8655018020931,"AvgVelo"
"Changeup",83,84.9702154724964,"AvgVelo"
"Changeup",84,84.9939274875181,"AvgVelo"
"Changeup",85,85.0015640004579,"AvgVelo"
